lb_id,session_date,source_second_ticks,publish_ticks,side,direction,profile_elapsed_seconds,profile_raw_available,PRF_PocDrift_ticks_300s_available,profile_trade_count,profile_total_volume,profile_last_trade_raw,profile_poc_raw,profile_val_raw,profile_vah_raw,PRF_PocSignedDistance_ticks,PRF_PocSide_Favor,PRF_VaSignedPositionNorm,PRF_InsideValueArea,PRF_VaWidth_ticks,PRF_PocDrift_ticks_300s,PRF_PocVolumeShare,PRF_ProfileEntropyNorm,poc_tie_count,poc_candidate_span_ticks,va_tie_steps,va_exhausted,n_levels_traded,reference_status,reference_available
LB_20220727_093600_BUY_0001,2022-07-27,637945257600000000,637945257610100000,BUY,1,360.0,True,True,20586.0,21751.0,49221.0,49269.0,49165.0,49298.0,48.0,1.0,-0.07894736842105263,1.0,133.0,0.0,0.012367247482874351,0.9687780642619919,1.0,0.0,0.0,False,201.0,VALID,True
LB_20220727_093700_BUY_0002,2022-07-27,637945258200000000,637945258210200000,BUY,1,420.0,True,True,23485.0,24859.0,49284.0,49269.0,49175.0,49298.0,-15.0,-1.0,0.3861788617886179,1.0,123.0,0.0,0.012188744519087654,0.9659470936780366,1.0,0.0,1.0,False,201.0,VALID,True
LB_20220727_093800_BUY_0003,2022-07-27,637945258800000000,637945258810200000,BUY,1,480.0,True,True,27377.0,29152.0,49331.0,49269.0,49155.0,49309.0,-62.0,-1.0,0.6428571428571429,0.0,154.0,0.0,0.010393798024149286,0.963788657618705,1.0,0.0,1.0,False,262.0,VALID,True
LB_20220727_093805_SELL_0004,2022-07-27,637945258850000000,637945258860000000,SELL,-1,485.0,True,True,27787.0,29627.0,49339.0,49269.0,49153.0,49309.0,70.0,1.0,-0.6923076923076923,0.0,156.0,-0.0,0.010227157660242346,0.9645498477936111,1.0,0.0,1.0,False,262.0,VALID,True
LB_20220727_093900_BUY_0005,2022-07-27,637945259400000000,637945259410090000,BUY,1,540.0,True,True,30423.0,32502.0,49357.0,49269.0,49191.0,49365.0,-88.0,-1.0,0.4540229885057471,1.0,174.0,0.0,0.009322503230570427,0.9737658119843949,1.0,0.0,2.0,False,262.0,VALID,True
LB_20220727_094500_BUY_0006,2022-07-27,637945263000000000,637945263010320000,BUY,1,900.0,True,True,43494.0,46836.0,49472.0,49269.0,49217.0,49453.0,-203.0,-1.0,0.5805084745762712,0.0,236.0,0.0,0.00646938252626185,0.9757895203096116,1.0,0.0,2.0,False,395.0,VALID,True
LB_20220727_094732_BUY_0007,2022-07-27,637945264520000000,637945264530120000,BUY,1,1052.0,True,True,48951.0,52757.0,49576.0,49269.0,49182.0,49464.0,-307.0,-1.0,0.8971631205673759,0.0,282.0,0.0,0.005743313683492238,0.9706052071749506,1.0,0.0,2.0,False,472.0,VALID,True
LB_20220727_100501_BUY_0008,2022-07-27,637945275010000000,637945275020010000,BUY,1,2101.0,True,True,71872.0,77762.0,49598.0,49552.0,49286.0,49604.0,-46.0,-1.0,0.4811320754716981,1.0,318.0,0.0,0.009721972171497647,0.9631104874309743,1.0,0.0,2.0,False,500.0,VALID,True
LB_20220727_100506_BUY_0009,2022-07-27,637945275060000000,637945275070160000,BUY,1,2106.0,True,True,72585.0,78516.0,49628.0,49552.0,49284.0,49608.0,-76.0,-1.0,0.5617283950617284,0.0,324.0,0.0,0.009628610729023384,0.9594756294403538,1.0,0.0,3.0,False,526.0,VALID,True
LB_20220727_100604_SELL_0010,2022-07-27,637945275640000000,637945275650030000,SELL,-1,2164.0,True,True,75270.0,81419.0,49660.0,49552.0,49271.0,49608.0,108.0,1.0,-0.6543026706231454,0.0,337.0,-0.0,0.009285301956545769,0.9594398557480265,1.0,0.0,3.0,False,562.0,VALID,True
LB_20220727_110124_BUY_0011,2022-07-27,637945308840000000,637945308850380000,BUY,1,5484.0,True,True,129493.0,141331.0,49736.0,49575.0,49444.0,49738.0,-161.0,-1.0,0.4931972789115646,1.0,294.0,0.0,0.006014250235263318,0.958087437156736,1.0,0.0,0.0,False,633.0,VALID,True
