lb_id,session_date,side,direction,source_second_ticks,publish_ticks,reference_status,reference_available,depth_age_ms,state_reason_before_freshness,last_depth_group_ticks,spread_ticks_at_reference,bid_level_count_at_reference,ask_level_count_at_reference
LB_20220727_093600_BUY_0001,2022-07-27,BUY,1,637945257600000000,637945257610100000,VALID,True,0.0,VALID,637945257610100000,2,499,429
LB_20220727_093700_BUY_0002,2022-07-27,BUY,1,637945258200000000,637945258210200000,VALID,True,0.0,VALID,637945258210200000,1,524,430
LB_20220727_093800_BUY_0003,2022-07-27,BUY,1,637945258800000000,637945258810200000,VALID,True,0.0,VALID,637945258810200000,3,552,472
LB_20220727_093805_SELL_0004,2022-07-27,SELL,-1,637945258850000000,637945258860000000,VALID,True,0.0,VALID,637945258860000000,3,525,501
LB_20220727_093900_BUY_0005,2022-07-27,BUY,1,637945259400000000,637945259410090000,VALID,True,0.0,VALID,637945259410090000,3,583,468
LB_20220727_094500_BUY_0006,2022-07-27,BUY,1,637945263000000000,637945263010320000,VALID,True,0.0,VALID,637945263010320000,2,666,490
LB_20220727_094732_BUY_0007,2022-07-27,BUY,1,637945264520000000,637945264530120000,VALID,True,0.0,VALID,637945264530120000,3,715,472
LB_20220727_100501_BUY_0008,2022-07-27,BUY,1,637945275010000000,637945275020010000,VALID,True,0.0,VALID,637945275020010000,2,741,518
LB_20220727_100506_BUY_0009,2022-07-27,BUY,1,637945275060000000,637945275070160000,VALID,True,0.0,VALID,637945275070160000,1,755,509
LB_20220727_100604_SELL_0010,2022-07-27,SELL,-1,637945275640000000,637945275650030000,VALID,True,0.0,VALID,637945275650030000,2,714,558
LB_20220727_110124_BUY_0011,2022-07-27,BUY,1,637945308840000000,637945308850380000,VALID,True,0.0,VALID,637945308850380000,2,821,550
LB_20220727_120346_BUY_0012,2022-07-27,BUY,1,637945346260000000,637945346270000000,VALID,True,0.0,VALID,637945346270000000,4,852,581
LB_20220727_122619_BUY_0013,2022-07-27,BUY,1,637945359790000000,637945359801000000,VALID,True,0.0,VALID,637945359801000000,2,891,568
LB_20220727_140331_BUY_0014,2022-07-27,BUY,1,637945418110000000,637945418120200000,VALID,True,0.0,VALID,637945418120200000,2,971,596
LB_20220727_140443_SELL_0015,2022-07-27,SELL,-1,637945418830000000,637945418840060000,VALID,True,0.0,VALID,637945418840060000,4,909,657
LB_20220727_140914_BUY_0016,2022-07-27,BUY,1,637945421540000000,637945421550180000,VALID,True,0.0,VALID,637945421550180000,3,873,661
LB_20220727_142201_SELL_0017,2022-07-27,SELL,-1,637945429210000000,637945429220000000,VALID,True,0.0,VALID,637945429220000000,3,883,677
LB_20220727_143545_BUY_0018,2022-07-27,BUY,1,637945437450000000,637945437460140000,VALID,True,0.0,VALID,637945437460140000,4,971,517
LB_20220727_143758_SELL_0019,2022-07-27,SELL,-1,637945438780000000,637945438790010000,VALID,True,0.0,VALID,637945438790010000,4,874,669
LB_20220727_143922_BUY_0020,2022-07-27,BUY,1,637945439620000000,637945439630030000,VALID,True,0.0,VALID,637945439630030000,3,1028,539
LB_20220727_144000_BUY_0021,2022-07-27,BUY,1,637945440000000000,637945440010160000,VALID,True,0.0,VALID,637945440010160000,1,1066,491
LB_20220727_145232_BUY_0022,2022-07-27,BUY,1,637945447520000000,637945447530130000,VALID,True,0.0,VALID,637945447530130000,2,1139,538
