session_date,status,eligible_after_trade_qc,trade_qc_exclusion_reason,trade_source,depth_source,liquidity_bursts,feature_rows,buy_rows,sell_rows,BASELINE_SUPPORT_count,DOM_STATE_SUPPORT_count,DOM_W1_SUPPORT_count,DOM_W5_SUPPORT_count,DOM_W30_SUPPORT_count,PROFILE_RAW_SUPPORT_count,PROFILE_F11_SUPPORT_count,COMBINED_W1_SUPPORT_count,COMBINED_W5_SUPPORT_count,COMBINED_W30_SUPPORT_count,elapsed_seconds,trade_timestamp_policy,trade_raw_timestamp_backtracks,trade_largest_raw_backtrack_ms,trade_timestamps_repaired,trade_effective_timestamp_backtracks,depth_policy,depth_raw_rows,depth_accepted_rows,depth_clamped_rows,depth_stale_rows_dropped,depth_largest_lateness_ms,labels_opened,outcomes_opened,models_opened
2022-07-27,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_26\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_26\marketdepth.dat,31.0,31,21.0,10.0,31.0,31.0,27.0,19.0,2.0,31.0,31.0,27.0,19.0,2.0,93.35549499999615,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8817153.0,8817153.0,51.0,0.0,2.0,False,False,False
2022-07-28,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_27\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_27\marketdepth.dat,18.0,18,10.0,8.0,18.0,18.0,15.0,13.0,2.0,18.0,17.0,14.0,12.0,2.0,95.66682450001827,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9356003.0,9356003.0,17.0,0.0,1.0,False,False,False
2022-07-29,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_28\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_28\marketdepth.dat,24.0,24,12.0,12.0,24.0,23.0,17.0,9.0,5.0,24.0,22.0,16.0,8.0,4.0,90.4516111999983,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8656369.0,8656119.0,12.0,250.0,22916475.0,False,False,False
2022-08-01,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_31\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_31\marketdepth.dat,25.0,25,11.0,14.0,25.0,24.0,20.0,14.0,7.0,25.0,23.0,19.0,14.0,7.0,106.43341669999063,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10621842.0,10621842.0,8.0,0.0,1.0,False,False,False
2022-08-02,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_01\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_01\marketdepth.dat,31.0,31,16.0,15.0,31.0,31.0,28.0,22.0,6.0,31.0,31.0,28.0,22.0,6.0,113.26897839998128,FILE_ORDER_CUMMAX,1.0,2.0,1.0,0.0,FILE_ORDER_WATERMARK,11472553.0,11472553.0,69.0,0.0,2.0,False,False,False
2022-08-03,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_02\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_02\marketdepth.dat,28.0,28,22.0,6.0,28.0,27.0,25.0,23.0,6.0,28.0,27.0,24.0,22.0,6.0,95.4609180999978,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9293195.0,9293195.0,18.0,0.0,1.0,False,False,False
2022-08-04,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_03\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_03\marketdepth.dat,13.0,13,8.0,5.0,13.0,12.0,10.0,8.0,1.0,13.0,13.0,10.0,8.0,1.0,96.56534249999095,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9446490.0,9446490.0,14.0,0.0,1.0,False,False,False
2022-08-05,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_04\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_04\marketdepth.dat,14.0,14,9.0,5.0,14.0,14.0,13.0,11.0,5.0,14.0,14.0,13.0,11.0,5.0,59.25902169998153,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10320857.0,10320607.0,22.0,250.0,16189322.0,False,False,False
2022-08-08,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_07\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_07\marketdepth.dat,32.0,32,16.0,16.0,32.0,32.0,31.0,19.0,8.0,32.0,32.0,31.0,19.0,8.0,83.76607969999895,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10797527.0,10797527.0,25.0,0.0,1.0,False,False,False
2022-08-09,PASS_ELIGIBLE_F3,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_08\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_08\marketdepth.dat,14.0,14,8.0,6.0,14.0,14.0,11.0,6.0,1.0,14.0,12.0,10.0,5.0,1.0,99.52866179999546,FILE_ORDER_CUMMAX,1.0,1.0,1.0,0.0,FILE_ORDER_WATERMARK,9900584.0,9900584.0,61.0,0.0,6.0,False,False,False
