group,support,supported_rows,total_rows,support_fraction
ALL,BASELINE_SUPPORT,2727,2727,1.0
ALL,DOM_STATE_SUPPORT,2616,2727,0.9592959295929593
ALL,DOM_W1_SUPPORT,2244,2727,0.8228822882288229
ALL,DOM_W5_SUPPORT,1560,2727,0.5720572057205721
ALL,DOM_W30_SUPPORT,439,2727,0.160982764943161
ALL,PROFILE_RAW_SUPPORT,2722,2727,0.9981664833149981
ALL,PROFILE_F11_SUPPORT,2597,2727,0.9523285661899523
ALL,COMBINED_W1_SUPPORT,2158,2727,0.7913458012467913
ALL,COMBINED_W5_SUPPORT,1520,2727,0.5573890722405573
ALL,COMBINED_W30_SUPPORT,433,2727,0.15878254492115879
BUY,BASELINE_SUPPORT,1354,1354,1.0
BUY,DOM_STATE_SUPPORT,1309,1354,0.9667651403249631
BUY,DOM_W1_SUPPORT,1119,1354,0.8264401772525849
BUY,DOM_W5_SUPPORT,780,1354,0.5760709010339734
BUY,DOM_W30_SUPPORT,219,1354,0.16174298375184637
BUY,PROFILE_RAW_SUPPORT,1350,1354,0.9970457902511078
BUY,PROFILE_F11_SUPPORT,1289,1354,0.9519940915805022
BUY,COMBINED_W1_SUPPORT,1080,1354,0.7976366322008862
BUY,COMBINED_W5_SUPPORT,759,1354,0.5605612998522895
BUY,COMBINED_W30_SUPPORT,218,1354,0.16100443131462333
SELL,BASELINE_SUPPORT,1373,1373,1.0
SELL,DOM_STATE_SUPPORT,1307,1373,0.9519300801165331
SELL,DOM_W1_SUPPORT,1125,1373,0.8193736343772761
SELL,DOM_W5_SUPPORT,780,1373,0.5680990531682447
SELL,DOM_W30_SUPPORT,220,1373,0.16023306627822287
SELL,PROFILE_RAW_SUPPORT,1372,1373,0.9992716678805535
SELL,PROFILE_F11_SUPPORT,1308,1373,0.9526584122359796
SELL,COMBINED_W1_SUPPORT,1078,1373,0.7851420247632921
SELL,COMBINED_W5_SUPPORT,761,1373,0.5542607428987618
SELL,COMBINED_W30_SUPPORT,215,1373,0.15659140568099053
