session_date,source,trade_rows,backtrack_count,largest_backtrack_ms,status,reason
2022-04-04,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\trades.dat,385753,0,0.0,PASS,
2022-04-05,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\trades.dat,491698,2,4.0025,PASS,
2022-04-06,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\trades.dat,679511,1,1.0001,PASS,
2022-04-07,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\trades.dat,556047,2,1.0,PASS,
2022-04-08,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\trades.dat,558320,0,0.0,PASS,
2022-04-11,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\trades.dat,472026,0,0.0,PASS,
2022-04-12,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\trades.dat,597389,0,0.0,PASS,
2022-04-13,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\trades.dat,448751,0,0.0,PASS,
2022-04-14,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\trades.dat,458318,0,0.0,PASS,
2022-04-15,,0,0,0.0,UNREADABLE,"ValueError: Invalid context scale: tick_size=0.0, lot_size=0.0"
2022-04-18,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_17\trades.dat,393889,0,0.0,PASS,
2022-04-19,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_18\trades.dat,435960,0,0.0,PASS,
2022-04-20,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_19\trades.dat,497218,0,0.0,PASS,
2022-04-21,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_20\trades.dat,576265,1,1.0,PASS,
2022-04-22,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_21\trades.dat,591630,1,1.0,PASS,
2022-04-25,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_24\trades.dat,623407,0,0.0,PASS,
2022-04-26,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_25\trades.dat,597187,0,0.0,PASS,
