lb_id,session_date,publish_ticks,latest_depth_group_ticks,depth_age_ms,old_quote_ticks,quote_group_lag_ms,feed_fresh_250ms,current_state_valid_spread_1_4,old_pipeline_accepted,corrected_pipeline_accepted,false_acceptance_due_invalid_current_state,stored_reference_exact_match,old_best_bid_raw,old_best_ask_raw,old_bid_size,old_ask_size,old_mid_raw,old_microprice_raw,current_best_bid_raw,current_best_ask_raw,current_bid_size,current_ask_size,current_mid_raw,current_microprice_raw
LB_20220801_093127_SELL_0001,2022-08-01,637949574880200000,637949574880200000,0.0,637949574880200000,0.0,True,True,True,True,False,True,51504,51506,1,1,51505.0,51505.0,51504.0,51506.0,1.0,1.0,51505.0,51505.0
LB_20220801_093500_SELL_0002,2022-08-01,637949577011060000,637949577011060000,0.0,637949577011060000,0.0,True,True,True,True,False,True,51519,51522,1,2,51520.5,51520.0,51519.0,51522.0,1.0,2.0,51520.5,51520.0
LB_20220801_093505_BUY_0003,2022-08-01,637949577060180000,637949577060180000,0.0,637949577060180000,0.0,True,True,True,True,False,True,51572,51575,2,3,51573.5,51573.2,51572.0,51575.0,2.0,3.0,51573.5,51573.2
LB_20220801_093700_BUY_0004,2022-08-01,637949578210020000,637949578210020000,0.0,637949578210020000,0.0,True,True,True,True,False,True,51611,51614,1,1,51612.5,51612.5,51611.0,51614.0,1.0,1.0,51612.5,51612.5
LB_20220801_093800_BUY_0005,2022-08-01,637949578810230000,637949578810230000,0.0,637949578810230000,0.0,True,True,True,True,False,True,51585,51588,1,2,51586.5,51586.0,51585.0,51588.0,1.0,2.0,51586.5,51586.0
LB_20220801_095213_BUY_0006,2022-08-01,637949587340160000,637949587340160000,0.0,637949587340160000,0.0,True,True,True,True,False,True,51910,51912,1,1,51911.0,51911.0,51910.0,51912.0,1.0,1.0,51911.0,51911.0
LB_20220801_100000_SELL_0007,2022-08-01,637949592010050000,637949592010050000,0.0,637949592010040000,1.0,True,False,True,False,True,True,51907,51908,7,4,51907.5,51907.63636363636,,,,,,
LB_20220801_100601_BUY_0008,2022-08-01,637949595620120000,637949595620120000,0.0,637949595620120000,0.0,True,True,True,True,False,True,52137,52139,3,1,52138.0,52138.5,52137.0,52139.0,3.0,1.0,52138.0,52138.5
LB_20220801_101029_BUY_0009,2022-08-01,637949598300060000,637949598300060000,0.0,637949598300060000,0.0,True,True,True,True,False,True,52209,52211,5,4,52210.0,52210.11111111111,52209.0,52211.0,5.0,4.0,52210.0,52210.11111111111
LB_20220801_101340_BUY_0010,2022-08-01,637949600210010000,637949600210010000,0.0,637949600210010000,0.0,True,True,True,True,False,True,52251,52252,1,2,52251.5,52251.333333333336,52251.0,52252.0,1.0,2.0,52251.5,52251.333333333336
LB_20220801_101706_SELL_0011,2022-08-01,637949602270020000,637949602270020000,0.0,637949602270020000,0.0,True,True,True,True,False,True,52159,52161,1,6,52160.0,52159.28571428572,52159.0,52161.0,1.0,6.0,52160.0,52159.28571428572
LB_20220801_102704_SELL_0012,2022-08-01,637949608250140000,637949608250140000,0.0,637949608250140000,0.0,True,True,True,True,False,True,51932,51934,1,6,51933.0,51932.28571428572,51932.0,51934.0,1.0,6.0,51933.0,51932.28571428572
LB_20220801_102822_SELL_0013,2022-08-01,637949609030450000,637949609030450000,0.0,637949609030450000,0.0,True,True,True,True,False,True,51869,51871,5,2,51870.0,51870.42857142857,51869.0,51871.0,5.0,2.0,51870.0,51870.42857142857
LB_20220801_104902_BUY_0014,2022-08-01,637949621430080000,637949621430080000,0.0,637949621430080000,0.0,True,True,True,True,False,True,52313,52315,2,2,52314.0,52314.0,52313.0,52315.0,2.0,2.0,52314.0,52314.0
LB_20220801_110212_SELL_0015,2022-08-01,637949629330210000,637949629330210000,0.0,637949629330210000,0.0,True,True,True,True,False,True,52273,52275,7,4,52274.0,52274.27272727273,52273.0,52275.0,7.0,4.0,52274.0,52274.27272727273
LB_20220801_110242_BUY_0016,2022-08-01,637949629630070000,637949629630070000,0.0,637949629630070000,0.0,True,True,True,True,False,True,52315,52317,9,1,52316.0,52316.8,52315.0,52317.0,9.0,1.0,52316.0,52316.8
LB_20220801_114424_SELL_0017,2022-08-01,637949654650100000,637949654650100000,0.0,637949654650100000,0.0,True,True,True,True,False,True,52239,52241,3,3,52240.0,52240.0,52239.0,52241.0,3.0,3.0,52240.0,52240.0
LB_20220801_114723_BUY_0018,2022-08-01,637949656440080000,637949656440080000,0.0,637949656440080000,0.0,True,True,True,True,False,True,52324,52326,5,2,52325.0,52325.42857142857,52324.0,52326.0,5.0,2.0,52325.0,52325.42857142857
LB_20220801_130119_SELL_0019,2022-08-01,637949700800060000,637949700800060000,0.0,637949700800060000,0.0,True,True,True,True,False,True,51975,51977,4,2,51976.0,51976.333333333336,51975.0,51977.0,4.0,2.0,51976.0,51976.333333333336
LB_20220801_130208_SELL_0020,2022-08-01,637949701290050000,637949701290050000,0.0,637949701290050000,0.0,True,True,True,True,False,True,51955,51957,2,7,51956.0,51955.444444444445,51955.0,51957.0,2.0,7.0,51956.0,51955.444444444445
LB_20220801_134615_SELL_0021,2022-08-01,637949727760070000,637949727760070000,0.0,637949727760070000,0.0,True,True,True,True,False,True,51604,51607,7,4,51605.5,51605.90909090909,51604.0,51607.0,7.0,4.0,51605.5,51605.90909090909
LB_20220801_141736_SELL_0022,2022-08-01,637949746570640000,637949746570640000,0.0,637949746570640000,0.0,True,True,True,True,False,True,51863,51865,4,6,51864.0,51863.8,51863.0,51865.0,4.0,6.0,51864.0,51863.8
LB_20220801_144101_SELL_0023,2022-08-01,637949760620070000,637949760620070000,0.0,637949760620070000,0.0,True,True,True,True,False,True,51843,51846,3,3,51844.5,51844.5,51843.0,51846.0,3.0,3.0,51844.5,51844.5
LB_20220801_144959_SELL_0024,2022-08-01,637949766000170000,637949766000170000,0.0,637949766000170000,0.0,True,True,True,True,False,True,51779,51782,3,4,51780.5,51780.28571428572,51779.0,51782.0,3.0,4.0,51780.5,51780.28571428572
LB_20220801_155000_BUY_0025,2022-08-01,637949802010120000,637949802010120000,0.0,637949802010120000,0.0,True,True,True,True,False,True,51933,51936,2,2,51934.5,51934.5,51933.0,51936.0,2.0,2.0,51934.5,51934.5
