session_date,liquidity_bursts,valid_reference_bursts,reference_coverage,status,reason,trade_header_status,depth_header_status,trade_source,depth_source,trade_timestamp_policy,trade_raw_timestamp_backtracks,trade_largest_raw_backtrack_ms,trade_timestamps_repaired,trade_effective_timestamp_backtracks,depth_policy,depth_raw_rows,depth_accepted_rows,depth_clamped_rows,depth_stale_rows_dropped,depth_largest_lateness_ms,effective_timestamp_groups,valid_quote_groups,invalid_quote_groups,quote_change_events,invalid_quote_state_events
2022-04-04,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-05,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-06,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-07,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-08,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-11,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-12,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-13,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-14,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,DATA_PRESENT,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\marketdepth.dat,,,,,,,,,,,,,,,,
2022-04-15,,,,EXCLUDED_DEPTH_HEADER_ONLY_ZERO_SCALE,Outcome-blind coverage manifest: HEADER_ONLY_ZERO_SCALE,HEADER_ONLY_ZERO_SCALE,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_14\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_14\marketdepth.dat,,,,,,,,,,,,,,,,
