month,side,regime,count
2022-07,BUY,CONTINUATION,9
2022-07,BUY,NO_EXPANSION,25
2022-07,BUY,REVERSAL,9
2022-07,SELL,CONTINUATION,5
2022-07,SELL,NO_EXPANSION,14
2022-07,SELL,REVERSAL,9
2022-08,BUY,CONTINUATION,63
2022-08,BUY,NO_EXPANSION,163
2022-08,BUY,REVERSAL,46
2022-08,SELL,CONTINUATION,54
2022-08,SELL,NO_EXPANSION,167
2022-08,SELL,REVERSAL,56
2022-09,BUY,CONTINUATION,96
2022-09,BUY,NO_EXPANSION,199
2022-09,BUY,REVERSAL,91
2022-09,SELL,CONTINUATION,59
2022-09,SELL,NO_EXPANSION,186
2022-09,SELL,REVERSAL,64
2022-10,BUY,CONTINUATION,79
2022-10,BUY,NO_EXPANSION,137
2022-10,BUY,REVERSAL,39
2022-10,SELL,CONTINUATION,61
2022-10,SELL,NO_EXPANSION,146
2022-10,SELL,REVERSAL,58
2022-11,BUY,AMBIGUOUS,1
2022-11,BUY,CONTINUATION,35
2022-11,BUY,NO_EXPANSION,100
2022-11,BUY,REVERSAL,40
2022-11,SELL,CONTINUATION,60
2022-11,SELL,NO_EXPANSION,109
2022-11,SELL,REVERSAL,45
2022-12,BUY,CONTINUATION,29
2022-12,BUY,NO_EXPANSION,100
2022-12,BUY,REVERSAL,24
2022-12,SELL,CONTINUATION,37
2022-12,SELL,NO_EXPANSION,101
2022-12,SELL,REVERSAL,44
