lb_id,session_date,source_second_ticks,publish_ticks,side,direction,price_raw,delta_1s,delta_3s,delta_change_1s,delta_change_zscore,delta_percentile,trades_per_second,contracts_per_second,velocity_1s,acceleration_1s,cumulative_delta
LB_20220801_093127_SELL_0001,2022-08-01,637949574870000000,637949574880200000,SELL,-1,51505,-124,-158,-109,-7.280489663093854,1.0,165,186,-17.0,-12.0,-158
LB_20220801_093500_SELL_0002,2022-08-01,637949577000000000,637949577011060000,SELL,-1,51519,-212,-193,-233,-9.351874582643168,1.0,419,498,-11.0,-6.0,-193
LB_20220801_093505_BUY_0003,2022-08-01,637949577050000000,637949577060180000,BUY,1,51575,156,197,132,4.276364436277137,0.9933333333333333,218,232,32.0,27.0,197
LB_20220801_093700_BUY_0004,2022-08-01,637949578200000000,637949578210020000,BUY,1,51613,234,245,250,6.776213374403623,1.0,568,826,18.0,21.0,245
LB_20220801_093800_BUY_0005,2022-08-01,637949578800000000,637949578810230000,BUY,1,51586,387,387,391,9.459482452844222,1.0,429,637,15.0,17.0,387
LB_20220801_095213_BUY_0006,2022-08-01,637949587330000000,637949587340160000,BUY,1,51912,110,188,94,4.473230869113897,0.99,165,212,15.0,13.0,188
LB_20220801_100000_SELL_0007,2022-08-01,637949592000000000,637949592010050000,SELL,-1,51924,-221,-231,-226,-9.541386126060852,1.0,412,479,-39.0,-46.0,-231
LB_20220801_100601_BUY_0008,2022-08-01,637949595610000000,637949595620120000,BUY,1,52139,248,257,246,14.352632387927533,1.0,352,414,25.0,19.0,257
LB_20220801_101029_BUY_0009,2022-08-01,637949598290000000,637949598300060000,BUY,1,52211,137,174,109,3.5847967947980552,0.9866666666666667,184,233,17.0,11.0,174
LB_20220801_101340_BUY_0010,2022-08-01,637949600200000000,637949600210010000,BUY,1,52251,252,273,238,11.95537366370791,1.0,268,326,10.0,11.0,273
LB_20220801_101706_SELL_0011,2022-08-01,637949602260000000,637949602270020000,SELL,-1,52159,-186,-194,-179,-6.623562500172891,0.9933333333333333,237,280,-11.0,-8.0,-194
LB_20220801_102704_SELL_0012,2022-08-01,637949608240000000,637949608250140000,SELL,-1,51932,-132,-156,-114,-5.214150917160625,1.0,146,200,-25.0,-12.0,-156
LB_20220801_102822_SELL_0013,2022-08-01,637949609020000000,637949609030450000,SELL,-1,51869,-161,-194,-131,-5.690847262134465,0.9966666666666667,164,213,-18.0,-9.0,-194
LB_20220801_104902_BUY_0014,2022-08-01,637949621420000000,637949621430080000,BUY,1,52315,384,404,382,18.522984250559634,1.0,659,782,50.0,48.0,404
LB_20220801_110212_SELL_0015,2022-08-01,637949629320000000,637949629330210000,SELL,-1,52274,-102,-203,-90,-4.393227579753374,0.9933333333333333,121,156,-12.0,-10.0,-203
LB_20220801_110242_BUY_0016,2022-08-01,637949629620000000,637949629630070000,BUY,1,52318,174,262,130,5.637302004452028,0.9966666666666667,59,196,0.0,-4.0,262
LB_20220801_114424_SELL_0017,2022-08-01,637949654640000000,637949654650100000,SELL,-1,52241,-134,-157,-129,-9.352298308427631,1.0,273,312,-9.0,-9.0,-157
LB_20220801_114723_BUY_0018,2022-08-01,637949656430000000,637949656440080000,BUY,1,52326,150,161,146,8.538548212628996,1.0,206,262,8.0,4.0,161
LB_20220801_130119_SELL_0019,2022-08-01,637949700790000000,637949700800060000,SELL,-1,51976,-187,-185,-189,-14.143833243096317,1.0,330,395,-43.0,-43.0,-185
LB_20220801_130208_SELL_0020,2022-08-01,637949701280000000,637949701290050000,SELL,-1,51956,-156,-159,-153,-8.167115472153178,0.9933333333333333,94,190,-7.0,-7.0,-159
LB_20220801_134615_SELL_0021,2022-08-01,637949727750000000,637949727760070000,SELL,-1,51606,-386,-378,-389,-22.599682709263956,1.0,514,716,-35.0,-39.0,-378
LB_20220801_141736_SELL_0022,2022-08-01,637949746560000000,637949746570640000,SELL,-1,51864,-148,-151,-146,-7.981105245145751,1.0,214,264,-8.0,-14.0,-151
LB_20220801_144101_SELL_0023,2022-08-01,637949760610000000,637949760620070000,SELL,-1,51845,-171,-173,-163,-16.24499121335048,1.0,310,359,-29.0,-24.0,-173
LB_20220801_144959_SELL_0024,2022-08-01,637949765990000000,637949766000170000,SELL,-1,51780,-167,-166,-169,-10.246767416577837,1.0,348,417,-26.0,-32.0,-166
LB_20220801_155000_BUY_0025,2022-08-01,637949802000000000,637949802010120000,BUY,1,51932,273,265,262,16.197845374820357,1.0,543,627,61.0,57.0,265
LB_20220802_093600_BUY_0001,2022-08-02,637950441600000000,637950441610080000,BUY,1,51564,237,259,211,7.89251113888875,1.0,364,397,9.0,8.0,259
LB_20220802_093943_BUY_0002,2022-08-02,637950443830000000,637950443840040000,BUY,1,51684,124,175,85,2.7247595055267677,0.98,206,260,12.0,2.0,175
LB_20220802_094617_BUY_0003,2022-08-02,637950447770000000,637950447780030000,BUY,1,51807,148,258,108,4.7549901201291895,1.0,165,242,11.0,6.0,258
LB_20220802_095312_SELL_0004,2022-08-02,637950451920000000,637950451930140000,SELL,-1,51580,-204,-222,-210,-9.132677181807152,1.0,357,390,-22.0,-23.0,-222
LB_20220802_095808_BUY_0005,2022-08-02,637950454880000000,637950454890120000,BUY,1,51684,120,166,83,2.602884832106172,0.9666666666666667,184,204,31.0,16.0,166
LB_20220802_100744_SELL_0006,2022-08-02,637950460640000000,637950460650010000,SELL,-1,51478,-122,-210,-97,-5.793992877192144,1.0,235,262,-8.0,8.0,-210
LB_20220802_101011_SELL_0007,2022-08-02,637950462110000000,637950462120140000,SELL,-1,51371,-466,-444,-471,-21.963679460266622,1.0,615,776,-35.0,-30.0,-444
LB_20220802_101032_BUY_0008,2022-08-02,637950462320000000,637950462330370000,BUY,1,51375,402,443,385,9.038372200125293,0.9933333333333333,759,880,71.0,70.0,443
LB_20220802_101225_SELL_0009,2022-08-02,637950463450000000,637950463460000000,SELL,-1,51383,-188,-188,-189,-3.4089588293294413,0.9866666666666667,328,366,-42.0,-40.0,-188
