date,year,ny_utc_offset,season,nq_entry_utc,nq_or_high,nq_or_low,es_or_high,es_or_low,es_last_utc,es_lag_seconds,es_last_close,es_confirm,gross_ticks,net_ticks,mae_ticks,mae_net_ticks,exit_reason
2022-04-27,2022,-4,EDT_SEEN,2022-04-27T13:31:09+00:00,13069.5,13010.0,4187.75,4177.5,2022-04-27T13:31:08+00:00,1.0,4187.75,False,-60.0,-64.0,-67.0,-71.0,SL
2022-04-28,2022,-4,EDT_SEEN,2022-04-28T13:31:00+00:00,13265.25,13211.25,4237.25,4229.0,2022-04-28T13:30:59+00:00,1.0,4235.25,False,60.0,56.0,-6.0,-10.0,TP
2022-05-06,2022,-4,EDT_SEEN,2022-05-06T13:31:17+00:00,12785.75,12740.0,4122.25,4113.0,2022-05-06T13:31:16+00:00,1.0,4121.75,False,-60.0,-64.0,-61.0,-65.0,SL
2022-05-09,2022,-4,EDT_SEEN,2022-05-09T13:31:01+00:00,12480.5,12442.5,4059.0,4051.75,2022-05-09T13:31:00+00:00,1.0,4057.5,False,60.0,56.0,-16.0,-20.0,TP
2022-05-10,2022,-4,EDT_SEEN,2022-05-10T13:31:00+00:00,12540.0,12487.0,4063.0,4049.25,2022-05-10T13:30:59+00:00,1.0,4063.0,False,-60.0,-64.0,-63.0,-67.0,SL
2022-05-11,2022,-4,EDT_SEEN,2022-05-11T13:31:11+00:00,12258.25,12211.5,3988.5,3980.25,2022-05-11T13:31:10+00:00,1.0,3987.0,False,60.0,56.0,-17.0,-21.0,TP
2022-05-12,2022,-4,EDT_SEEN,2022-05-12T13:31:00+00:00,11852.0,11784.25,3905.5,3893.75,2022-05-12T13:30:59+00:00,1.0,3905.0,False,60.0,56.0,-13.0,-17.0,TP
2022-05-13,2022,-4,EDT_SEEN,2022-05-13T13:31:01+00:00,12142.0,12121.5,3973.0,3969.5,2022-05-13T13:31:00+00:00,1.0,3971.0,False,60.0,56.0,-5.0,-9.0,TP
2022-05-16,2022,-4,EDT_SEEN,2022-05-16T13:31:07+00:00,12318.0,12280.75,4008.75,4002.25,2022-05-16T13:31:06+00:00,1.0,4007.25,False,60.0,56.0,-12.0,-16.0,TP
2022-05-18,2022,-4,EDT_SEEN,2022-05-18T13:32:05+00:00,12372.5,12350.5,4040.75,4036.25,2022-05-18T13:32:04+00:00,1.0,4036.75,False,60.0,56.0,-21.0,-25.0,TP
2022-05-19,2022,-4,EDT_SEEN,2022-05-19T13:31:01+00:00,11901.5,11864.25,3892.5,3887.0,2022-05-19T13:31:00+00:00,1.0,3892.5,False,-60.0,-64.0,-62.0,-66.0,SL
2022-05-20,2022,-4,EDT_SEEN,2022-05-20T13:31:10+00:00,12046.5,12010.75,3936.75,3928.5,2022-05-20T13:31:09+00:00,1.0,3937.0,True,-60.0,-64.0,-62.0,-66.0,SL
2022-05-23,2022,-4,EDT_SEEN,2022-05-23T13:31:19+00:00,11899.75,11855.0,3933.0,3927.75,2022-05-23T13:31:18+00:00,1.0,3933.0,False,-60.0,-64.0,-69.0,-73.0,SL
2022-05-25,2022,-4,EDT_SEEN,2022-05-25T13:31:01+00:00,11751.25,11708.0,3930.0,3921.5,2022-05-25T13:31:00+00:00,1.0,3929.0,False,-60.0,-64.0,-62.0,-66.0,SL
2022-05-26,2022,-4,EDT_SEEN,2022-05-26T13:31:00+00:00,11917.75,11899.0,3992.0,3987.5,2022-05-26T13:30:59+00:00,1.0,3989.5,False,60.0,56.0,-24.0,-28.0,TP
2022-05-27,2022,-4,EDT_SEEN,2022-05-27T13:31:00+00:00,12429.75,12402.0,4086.5,4079.5,2022-05-27T13:30:59+00:00,1.0,4086.5,False,60.0,56.0,-1.0,-5.0,TP
2022-06-01,2022,-4,EDT_SEEN,2022-06-01T13:31:17+00:00,12756.0,12731.5,4159.0,4152.75,2022-06-01T13:31:16+00:00,1.0,4157.5,False,60.0,56.0,-12.0,-16.0,TP
2022-06-03,2022,-4,EDT_SEEN,2022-06-03T13:31:13+00:00,12675.0,12641.75,4127.0,4122.5,2022-06-03T13:31:12+00:00,1.0,4129.25,True,60.0,56.0,-27.0,-31.0,TP
2022-06-06,2022,-4,EDT_SEEN,2022-06-06T13:31:00+00:00,12778.75,12741.0,4154.0,4148.0,2022-06-06T13:30:59+00:00,1.0,4154.0,False,-60.0,-64.0,-61.0,-65.0,SL
