bloque,year,trades,trades_mes,wr,pf,ev_gross,ev_net
DEV_baseline,2022,134,16.75,42.537,0.914,0.567,-1.433
DEV_baseline,2023,162,18.0,44.444,0.964,1.309,-0.691
DEV_baseline,TOTAL,296,17.41,43.581,0.943,0.973,-1.027
DEV_filtrado,2022,57,7.12,43.86,1.167,4.667,2.667
DEV_filtrado,2023,56,7.0,42.857,0.857,-1.286,-3.286
DEV_filtrado,TOTAL,113,7.06,43.363,0.985,1.717,-0.283
FRESH_baseline,2024,162,18.0,32.716,0.699,-4.407,-6.407
FRESH_baseline,2025,162,20.25,43.827,1.179,5.296,3.296
FRESH_baseline,2026,78,15.6,43.59,1.212,5.487,3.487
FRESH_baseline,TOTAL,402,18.27,39.303,0.97,1.423,-0.577
FRESH_filtrado,2024,37,4.62,35.135,0.768,-3.324,-5.324
FRESH_filtrado,2025,47,5.88,40.426,1.154,5.021,3.021
FRESH_filtrado,2026,19,4.75,47.368,0.774,-2.211,-4.211
FRESH_filtrado,TOTAL,103,5.15,39.806,0.937,0.689,-1.311
