date,year,direction,t_entry,t_lb,pnl_hold,pnl_exit_lb,lb_durante_trade
2022-04-26,2022,DOWN,2022-04-26T13:31:31+00:00,2022-04-26T13:31:43+00:00,8.0,36.0,True
2022-04-27,2022,UP,2022-04-27T13:31:09+00:00,2022-04-27T13:35:00+00:00,-50.0,,False
2022-05-04,2022,DOWN,2022-05-04T13:31:10+00:00,2022-05-04T13:33:01+00:00,-9.0,,False
2022-05-09,2022,UP,2022-05-09T13:31:01+00:00,2022-05-09T13:31:12+00:00,4.0,,False
2022-05-18,2022,UP,2022-05-18T13:32:05+00:00,2022-05-18T13:35:03+00:00,-2.0,,False
2022-05-20,2022,UP,2022-05-20T13:31:10+00:00,2022-05-20T13:35:01+00:00,-14.0,,False
2022-05-23,2022,UP,2022-05-23T13:31:19+00:00,2022-05-23T13:34:20+00:00,-50.0,,False
2022-05-27,2022,UP,2022-05-27T13:31:00+00:00,2022-05-27T13:31:00+00:00,30.0,34.0,True
2022-06-08,2022,DOWN,2022-06-08T13:31:00+00:00,2022-06-08T13:31:02+00:00,27.0,45.0,True
2022-06-13,2022,UP,2022-06-13T13:31:00+00:00,2022-06-13T13:31:07+00:00,40.0,19.0,True
2022-06-27,2022,UP,2022-06-27T13:31:13+00:00,2022-06-27T13:32:02+00:00,-50.0,,False
2022-07-18,2022,DOWN,2022-07-18T13:31:02+00:00,2022-07-18T13:31:05+00:00,23.0,37.0,True
2022-07-19,2022,DOWN,2022-07-19T13:32:34+00:00,2022-07-19T13:36:00+00:00,-15.0,,False
2022-07-20,2022,DOWN,2022-07-20T13:32:40+00:00,2022-07-20T13:34:14+00:00,-50.0,,False
2022-07-26,2022,DOWN,2022-07-26T13:31:08+00:00,2022-07-26T13:31:11+00:00,58.0,50.0,True
2022-07-29,2022,UP,2022-07-29T13:31:15+00:00,2022-07-29T13:35:00+00:00,-15.0,,False
2022-08-01,2022,DOWN,2022-08-01T13:31:03+00:00,2022-08-01T13:31:27+00:00,9.0,,False
