day,delta,volume,delta_ratio,n_trades,tape_move,delta_max,delta_min,delta_end_vs_max
2022-04-04,249.0,10169.0,0.02448618349886911,9372,16.25,260.0,-237.0,-11.0
2022-04-05,-19.0,10627.0,-0.001787898748470876,9956,13.75,300.0,-165.0,-319.0
2022-04-06,743.0,13937.0,0.05331132955442348,12785,5.0,1112.0,-11.0,-369.0
2022-04-07,16.0,9412.0,0.0016999575010624734,8895,18.75,68.0,-250.0,-52.0
2022-04-08,-9.0,12203.0,-0.0007375235597803819,11405,-27.5,460.0,-192.0,-469.0
2022-04-11,-717.0,12789.0,-0.05606380483227774,11902,-23.75,449.0,-847.0,-1166.0
2022-04-12,43.0,12901.0,0.0033330749554298118,11844,-40.0,188.0,-731.0,-145.0
2022-04-13,-222.0,11284.0,-0.01967387451258419,10506,12.5,0.0,-528.0,-222.0
2022-04-14,-80.0,9948.0,-0.008041817450743867,9106,-5.0,112.0,-395.0,-192.0
2022-04-18,0.0,11850.0,0.0,10550,65.0,419.0,-90.0,-419.0
2022-04-19,657.0,12061.0,0.054473095099908796,11346,1.25,886.0,-7.0,-229.0
2022-04-20,804.0,13460.0,0.05973254086181278,11984,-21.25,1307.0,-4.0,-503.0
2022-04-21,758.0,11856.0,0.06393387314439947,10860,68.75,805.0,-55.0,-47.0
2022-04-22,-81.0,11605.0,-0.006979750107712193,10811,0.0,122.0,-373.0,-203.0
2022-04-25,241.0,12553.0,0.019198597944714412,11682,12.5,447.0,-145.0,-206.0
2022-04-26,-468.0,12684.0,-0.036896877956480605,11625,-53.75,251.0,-520.0,-719.0
2022-04-27,261.0,13569.0,0.019235021003758568,12627,66.25,274.0,-141.0,-13.0
2022-04-28,-162.0,13302.0,-0.012178619756427604,12390,-15.0,635.0,-170.0,-797.0
2022-04-29,-209.0,14503.0,-0.014410811556229745,13522,22.5,97.0,-763.0,-306.0
2022-05-02,-172.0,13998.0,-0.012287469638519788,12867,36.25,350.0,-350.0,-522.0
2022-05-03,-398.0,14742.0,-0.02699769366436033,13744,-18.75,15.0,-632.0,-413.0
2022-05-04,28.0,9274.0,0.003019193444037093,8713,-26.25,198.0,-182.0,-170.0
2022-05-05,-839.0,13173.0,-0.06369088286646929,12078,-46.25,292.0,-923.0,-1131.0
2022-05-06,-409.0,13045.0,-0.03135300881563818,12093,-30.0,145.0,-433.0,-554.0
2022-05-09,136.0,14184.0,0.009588268471517203,13005,-12.5,617.0,-8.0,-481.0
2022-05-10,-557.0,13197.0,-0.04220656209744639,12171,13.75,451.0,-565.0,-1008.0
2022-05-11,358.0,13884.0,0.0257850763468741,12875,48.75,853.0,-234.0,-495.0
2022-05-12,-58.0,19506.0,-0.002973444068491746,16893,-7.5,570.0,-503.0,-628.0
2022-05-13,-4.0,10572.0,-0.00037835792659856227,9901,5.0,510.0,-140.0,-514.0
2022-05-16,-755.0,11275.0,-0.06696230598669622,10636,-28.75,16.0,-860.0,-771.0
2022-05-17,-313.0,12609.0,-0.02482353874216829,11913,-5.0,227.0,-371.0,-540.0
2022-05-18,-385.0,10827.0,-0.03555925002309042,10231,8.75,23.0,-545.0,-408.0
2022-05-19,-143.0,14087.0,-0.010151203237027047,13062,35.0,268.0,-206.0,-411.0
2022-05-20,44.0,14288.0,0.003079507278835386,13124,-27.5,519.0,-92.0,-475.0
2022-05-23,267.0,13813.0,0.01932961702743792,12749,-8.75,456.0,-15.0,-189.0
2022-05-24,59.0,11411.0,0.0051704495662080446,10547,21.25,231.0,-252.0,-172.0
2022-05-25,678.0,10526.0,0.06441193235797074,9959,48.75,742.0,-15.0,-64.0
2022-05-26,275.0,10679.0,0.025751474857196366,9800,22.5,534.0,-78.0,-259.0
2022-05-27,1310.0,13506.0,0.09699392862431512,12241,60.0,1352.0,-33.0,-42.0
2022-05-31,-409.0,10841.0,-0.03772714694216401,9943,-41.25,32.0,-664.0,-441.0
2022-06-01,307.0,12529.0,0.024503152685769015,11672,43.75,594.0,-27.0,-287.0
