day,delta_ratio,delta,volume,tape_move,long_pnl,short_pnl
2022-04-25,0.019198597944714412,241.0,12553.0,12.5,-44,36
2022-04-26,-0.036896877956480605,-468.0,12684.0,-53.75,36,-44
2022-04-27,0.019235021003758568,261.0,13569.0,66.25,-44,36
2022-04-28,-0.012178619756427604,-162.0,13302.0,-15.0,36,-44
2022-04-29,-0.014410811556229745,-209.0,14503.0,22.5,36,-44
2022-05-02,-0.012287469638519788,-172.0,13998.0,36.25,-44,36
2022-05-03,-0.02699769366436033,-398.0,14742.0,-18.75,-44,36
2022-05-04,0.003019193444037093,28.0,9274.0,-26.25,-44,36
2022-05-05,-0.06369088286646929,-839.0,13173.0,-46.25,-44,36
2022-05-06,-0.03135300881563818,-409.0,13045.0,-30.0,-44,36
2022-05-09,0.009588268471517203,136.0,14184.0,-12.5,-44,36
2022-05-10,-0.04220656209744639,-557.0,13197.0,13.75,36,-44
2022-05-11,0.0257850763468741,358.0,13884.0,48.75,-44,36
2022-05-12,-0.002973444068491746,-58.0,19506.0,-7.5,36,-44
2022-05-13,-0.00037835792659856227,-4.0,10572.0,5.0,-44,36
2022-05-16,-0.06696230598669622,-755.0,11275.0,-28.75,-44,36
2022-05-17,-0.02482353874216829,-313.0,12609.0,-5.0,36,-44
2022-05-18,-0.03555925002309042,-385.0,10827.0,8.75,36,-44
2022-05-19,-0.010151203237027047,-143.0,14087.0,35.0,36,-44
2022-05-20,0.003079507278835386,44.0,14288.0,-27.5,36,-44
2022-05-23,0.01932961702743792,267.0,13813.0,-8.75,-44,36
2022-05-24,0.0051704495662080446,59.0,11411.0,21.25,-44,36
2022-05-25,0.06441193235797074,678.0,10526.0,48.75,-44,36
2022-05-26,0.025751474857196366,275.0,10679.0,22.5,36,-44
2022-05-27,0.09699392862431512,1310.0,13506.0,60.0,-44,36
2022-05-31,-0.03772714694216401,-409.0,10841.0,-41.25,-44,36
2022-06-01,0.024503152685769015,307.0,12529.0,43.75,36,-44
2022-06-02,-0.04213740458015267,-552.0,13100.0,-21.25,-44,36
