family,date,year,half,side,entry_utc,entry,risk_ticks,acceptance_utc,retest_utc,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason
OR5_ACCEPTANCE_ES_PULLBACK,2022-04-28,2022,2022-H1,SHORT,2022-04-28T13:35:25+00:00,13194.25,40.0,2022-04-28T13:35:20+00:00,2022-04-28T13:35:24+00:00,5.0,1.0,0.025,-27.0,STOP,True,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-05-02,2022,2022-H1,SHORT,2022-05-02T13:35:34+00:00,12804.5,40.0,2022-05-02T13:35:17+00:00,2022-05-02T13:35:33+00:00,-40.0,-44.0,-1.1,-77.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-05-12,2022,2022-H1,SHORT,2022-05-12T13:38:19+00:00,11732.0,40.0,2022-05-12T13:38:15+00:00,2022-05-12T13:38:18+00:00,80.0,76.0,1.9,-8.0,TARGET,True,76.0,1.9,TARGET
OR5_ACCEPTANCE_ES_PULLBACK,2022-05-18,2022,2022-H1,SHORT,2022-05-18T13:40:01+00:00,12349.0,40.0,2022-05-18T13:39:31+00:00,2022-05-18T13:40:00+00:00,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-05-23,2022,2022-H1,SHORT,2022-05-23T13:37:42+00:00,11844.25,40.0,2022-05-23T13:37:08+00:00,2022-05-23T13:37:41+00:00,-40.0,-44.0,-1.1,-46.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-05-26,2022,2022-H1,LONG,2022-05-26T13:35:11+00:00,11985.5,40.0,2022-05-26T13:35:07+00:00,2022-05-26T13:35:10+00:00,32.0,28.0,0.7,-13.0,STOP,True,76.0,1.9,TARGET
OR5_ACCEPTANCE_ES_PULLBACK,2022-05-31,2022,2022-H1,SHORT,2022-05-31T13:37:18+00:00,12580.25,40.0,2022-05-31T13:37:11+00:00,2022-05-31T13:37:17+00:00,-40.0,-44.0,-1.1,-43.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-06-10,2022,2022-H1,SHORT,2022-06-10T13:36:43+00:00,11974.0,40.0,2022-06-10T13:36:41+00:00,2022-06-10T13:36:42+00:00,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-06-16,2022,2022-H1,SHORT,2022-06-16T13:39:32+00:00,11242.25,40.0,2022-06-16T13:38:54+00:00,2022-06-16T13:39:31+00:00,-40.0,-44.0,-1.1,-44.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-06-24,2022,2022-H1,LONG,2022-06-24T13:35:16+00:00,11908.0,40.0,2022-06-24T13:35:03+00:00,2022-06-24T13:35:15+00:00,9.0,5.0,0.125,-13.0,STOP,True,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-07-07,2022,2022-H2,LONG,2022-07-07T13:35:05+00:00,11994.25,40.0,2022-07-07T13:35:02+00:00,2022-07-07T13:35:04+00:00,-40.0,-44.0,-1.1,-41.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-07-12,2022,2022-H2,LONG,2022-07-12T13:36:00+00:00,11986.75,40.0,2022-07-12T13:35:56+00:00,2022-07-12T13:35:59+00:00,4.0,0.0,0.0,-6.0,STOP,True,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-07-13,2022,2022-H2,LONG,2022-07-13T13:41:27+00:00,11623.25,40.0,2022-07-13T13:39:12+00:00,2022-07-13T13:41:26+00:00,-40.0,-44.0,-1.1,-46.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-07-21,2022,2022-H2,SHORT,2022-07-21T13:35:12+00:00,12441.75,40.0,2022-07-21T13:35:02+00:00,2022-07-21T13:35:11+00:00,-40.0,-44.0,-1.1,-43.0,STOP,False,-44.0,-1.1,STOP
OR5_ACCEPTANCE_ES_PULLBACK,2022-07-22,2022,2022-H2,SHORT,2022-07-22T13:36:14+00:00,12571.25,40.0,2022-07-22T13:36:04+00:00,2022-07-22T13:36:13+00:00,-40.0,-44.0,-1.1,-43.0,STOP,False,-44.0,-1.1,STOP
