family,date,year,half,side,entry_utc,entry,risk_ticks,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason,acceptance_utc
IB30_ACCEPTED_BREAKOUT,2022-04-25,2022,2022-H1,LONG,2022-04-25T14:25:02+00:00,13371.75,60.0,19.0,15.0,0.25,-19.0,STOP,True,56.0,0.9333333333333333,TARGET,2022-04-25T14:25:01+00:00
IB30_ACCEPTED_BREAKOUT,2022-04-26,2022,2022-H1,SHORT,2022-04-26T14:01:13+00:00,13247.75,60.0,4.0,0.0,0.0,-5.0,STOP,True,56.0,0.9333333333333333,TARGET,2022-04-26T14:01:12+00:00
IB30_ACCEPTED_BREAKOUT,2022-04-27,2022,2022-H1,SHORT,2022-04-27T14:14:47+00:00,13008.25,60.0,120.0,116.0,1.9333333333333333,-7.0,TARGET,True,56.0,0.9333333333333333,TARGET,2022-04-27T14:14:46+00:00
IB30_ACCEPTED_BREAKOUT,2022-04-28,2022,2022-H1,SHORT,2022-04-28T14:00:45+00:00,13093.5,60.0,18.0,14.0,0.23333333333333334,-25.0,STOP,True,56.0,0.9333333333333333,TARGET,2022-04-28T14:00:44+00:00
IB30_ACCEPTED_BREAKOUT,2022-04-29,2022,2022-H1,SHORT,2022-04-29T14:28:26+00:00,13221.75,60.0,-60.0,-64.0,-1.0666666666666667,-66.0,STOP,False,-64.0,-1.0666666666666667,STOP,2022-04-29T14:28:25+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-02,2022,2022-H1,LONG,2022-05-02T14:26:45+00:00,12974.0,60.0,-60.0,-64.0,-1.0666666666666667,-60.0,STOP,False,-64.0,-1.0666666666666667,STOP,2022-05-02T14:26:44+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-03,2022,2022-H1,LONG,2022-05-03T14:00:06+00:00,13119.5,60.0,36.0,32.0,0.5333333333333333,-22.0,STOP,True,56.0,0.9333333333333333,TARGET,2022-05-03T14:00:05+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-04,2022,2022-H1,SHORT,2022-05-04T14:00:02+00:00,13013.0,60.0,-60.0,-64.0,-1.0666666666666667,-63.0,STOP,False,-64.0,-1.0666666666666667,STOP,2022-05-04T14:00:01+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-05,2022,2022-H1,SHORT,2022-05-05T14:00:54+00:00,13145.5,60.0,-60.0,-64.0,-1.0666666666666667,-62.0,STOP,False,-64.0,-1.0666666666666667,STOP,2022-05-05T14:00:53+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-06,2022,2022-H1,LONG,2022-05-06T14:18:41+00:00,12795.5,60.0,54.0,50.0,0.8333333333333334,-37.0,STOP,True,56.0,0.9333333333333333,TARGET,2022-05-06T14:18:40+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-09,2022,2022-H1,SHORT,2022-05-09T14:00:23+00:00,12415.0,60.0,-60.0,-64.0,-1.0666666666666667,-60.0,STOP,False,-64.0,-1.0666666666666667,STOP,2022-05-09T14:00:22+00:00
IB30_ACCEPTED_BREAKOUT,2022-05-10,2022,2022-H1,SHORT,2022-05-10T14:41:38+00:00,12334.75,60.0,4.0,0.0,0.0,-40.0,STOP,True,56.0,0.9333333333333333,TARGET,2022-05-10T14:41:37+00:00
