family,date,year,half,side,entry_utc,entry,risk_ticks,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason,acceptance_utc,reclaim_utc
IB30_ACCEPTED_FAILURE_FADE,2022-04-28,2022,2022-H1,LONG,2022-04-28T14:01:08+00:00,13095.25,56.0,-56.0,-60.0,-1.0714285714285714,-59.0,STOP,False,-60.0,-1.0714285714285714,STOP,2022-04-28T14:00:44+00:00,2022-04-28T14:01:07+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-04-29,2022,2022-H1,LONG,2022-04-29T14:28:30+00:00,13228.0,31.0,-31.0,-35.0,-1.1290322580645162,-33.0,STOP,False,-35.0,-1.1290322580645162,STOP,2022-04-29T14:28:25+00:00,2022-04-29T14:28:29+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-02,2022,2022-H1,SHORT,2022-05-02T14:26:48+00:00,12968.0,40.0,32.0,28.0,0.7,-15.0,STOP,True,36.0,0.9,TARGET,2022-05-02T14:26:44+00:00,2022-05-02T14:26:47+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-04,2022,2022-H1,LONG,2022-05-04T14:00:05+00:00,13020.25,39.0,-39.0,-43.0,-1.1025641025641026,-39.0,STOP,False,-43.0,-1.1025641025641026,STOP,2022-05-04T14:00:01+00:00,2022-05-04T14:00:04+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-05,2022,2022-H1,LONG,2022-05-05T14:01:00+00:00,13157.25,58.0,-58.0,-62.0,-1.0689655172413792,-75.0,STOP,False,-62.0,-1.0689655172413792,STOP,2022-05-05T14:00:53+00:00,2022-05-05T14:00:59+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-06,2022,2022-H1,SHORT,2022-05-06T14:18:46+00:00,12790.25,38.0,-38.0,-42.0,-1.105263157894737,-70.0,STOP,False,-42.0,-1.105263157894737,STOP,2022-05-06T14:18:40+00:00,2022-05-06T14:18:45+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-10,2022,2022-H1,LONG,2022-05-10T14:41:40+00:00,12337.5,34.0,-34.0,-38.0,-1.1176470588235294,-38.0,STOP,False,-38.0,-1.1176470588235294,STOP,2022-05-10T14:41:37+00:00,2022-05-10T14:41:39+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-16,2022,2022-H1,LONG,2022-05-16T14:01:33+00:00,12219.0,66.0,4.0,0.0,0.0,-21.0,STOP,True,62.0,0.9393939393939394,TARGET,2022-05-16T14:01:17+00:00,2022-05-16T14:01:32+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-17,2022,2022-H1,LONG,2022-05-17T14:09:34+00:00,12434.5,48.0,-48.0,-52.0,-1.0833333333333333,-53.0,STOP,False,-52.0,-1.0833333333333333,STOP,2022-05-17T14:09:13+00:00,2022-05-17T14:09:33+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-18,2022,2022-H1,LONG,2022-05-18T14:30:19+00:00,12290.75,40.0,23.0,19.0,0.475,-2.0,STOP,True,36.0,0.9,TARGET,2022-05-18T14:30:09+00:00,2022-05-18T14:30:18+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-19,2022,2022-H1,SHORT,2022-05-19T14:03:20+00:00,11977.0,28.0,-28.0,-32.0,-1.1428571428571428,-33.0,STOP,False,-32.0,-1.1428571428571428,STOP,2022-05-19T14:03:16+00:00,2022-05-19T14:03:19+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-23,2022,2022-H1,LONG,2022-05-23T14:01:05+00:00,11818.75,32.0,7.0,3.0,0.09375,-19.0,STOP,True,28.0,0.875,TARGET,2022-05-23T14:01:02+00:00,2022-05-23T14:01:04+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-25,2022,2022-H1,SHORT,2022-05-25T14:19:36+00:00,11854.75,36.0,72.0,68.0,1.8888888888888888,-12.0,TARGET,True,32.0,0.8888888888888888,TARGET,2022-05-25T14:19:31+00:00,2022-05-25T14:19:35+00:00
IB30_ACCEPTED_FAILURE_FADE,2022-05-26,2022,2022-H1,SHORT,2022-05-26T14:01:41+00:00,12123.5,68.0,41.0,37.0,0.5441176470588235,-38.0,STOP,True,64.0,0.9411764705882353,TARGET,2022-05-26T14:00:33+00:00,2022-05-26T14:01:40+00:00
