family,date,year,half,side,entry_utc,entry,risk_ticks,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason
A_CROSS_ACCEPTANCE_RETEST,2022-04-29,2022,2022-H1,SHORT,2022-04-29T13:31:13+00:00,13260.75,68.0,136.0,132.0,1.9411764705882353,-5.0,TARGET,True,64.0,0.9411764705882353,TARGET
A_CROSS_ACCEPTANCE_RETEST,2022-05-05,2022,2022-H1,SHORT,2022-05-05T13:31:29+00:00,13315.5,64.0,128.0,124.0,1.9375,-62.0,TARGET,True,60.0,0.9375,TARGET
A_CROSS_ACCEPTANCE_RETEST,2022-05-17,2022,2022-H1,SHORT,2022-05-17T13:31:19+00:00,12469.75,78.5,-78.5,-82.5,-1.0509554140127388,-85.0,STOP,False,-82.5,-1.0509554140127388,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-05-20,2022,2022-H1,LONG,2022-05-20T13:31:14+00:00,12048.0,77.5,-77.5,-81.5,-1.0516129032258064,-97.0,STOP,False,-81.5,-1.0516129032258064,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-05-31,2022,2022-H1,SHORT,2022-05-31T13:31:36+00:00,12659.25,66.5,133.0,129.0,1.9398496240601504,-34.0,TARGET,True,62.5,0.9398496240601504,TARGET
A_CROSS_ACCEPTANCE_RETEST,2022-06-08,2022,2022-H1,SHORT,2022-06-08T13:31:26+00:00,12656.5,67.0,49.0,45.0,0.6716417910447762,-1.0,STOP,True,63.0,0.9402985074626866,TARGET
A_CROSS_ACCEPTANCE_RETEST,2022-06-09,2022,2022-H1,SHORT,2022-06-09T13:31:30+00:00,12530.0,63.0,-63.0,-67.0,-1.0634920634920635,-83.0,STOP,False,-67.0,-1.0634920634920635,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-06-14,2022,2022-H1,SHORT,2022-06-14T13:31:31+00:00,11371.5,52.0,-52.0,-56.0,-1.0769230769230769,-54.0,STOP,False,-56.0,-1.0769230769230769,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-06-21,2022,2022-H1,LONG,2022-06-21T13:32:17+00:00,11502.75,47.5,-47.5,-51.5,-1.0842105263157895,-50.0,STOP,False,-51.5,-1.0842105263157895,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-06-23,2022,2022-H1,LONG,2022-06-23T13:31:24+00:00,11675.25,64.5,-64.5,-68.5,-1.062015503875969,-67.0,STOP,False,-68.5,-1.062015503875969,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-07-11,2022,2022-H2,LONG,2022-07-11T13:31:31+00:00,12052.0,68.5,-68.5,-72.5,-1.0583941605839415,-69.0,STOP,False,-72.5,-1.0583941605839415,STOP
A_CROSS_ACCEPTANCE_RETEST,2022-07-12,2022,2022-H2,LONG,2022-07-12T13:32:11+00:00,11965.75,55.0,4.0,0.0,0.0,-6.0,STOP,True,51.0,0.9272727272727272,TARGET
