family,date,year,half,side,entry_utc,entry,risk_ticks,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason,block,burst_id,burst_side,publish_utc,observation_end_utc,outside_count
A_LB_CONTINUATION_ACCEPTANCE,2022-05-27,2022,2022-H1,LONG,2022-05-27T13:31:07+00:00,12434.5,74.5,67.5,63.5,0.8523489932885906,-12.0,STOP,True,70.5,0.9463087248322147,TARGET,DEV,LB_20220527_093100_BUY_0001,BUY,2022-05-27T13:31:01.006000+00:00,2022-05-27T13:31:06+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2022-08-01,2022,2022-H2,SHORT,2022-08-01T13:31:34+00:00,12882.5,75.5,47.5,43.5,0.5761589403973509,-29.0,STOP,True,71.5,0.9470198675496688,TARGET,DEV,LB_20220801_093127_SELL_0001,SELL,2022-08-01T13:31:28.020000+00:00,2022-08-01T13:31:33+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2022-09-01,2022,2022-H2,SHORT,2022-09-01T13:31:31+00:00,12163.25,58.0,7.0,3.0,0.05172413793103448,-31.0,STOP,True,54.0,0.9310344827586207,TARGET,DEV,LB_20220901_093124_SELL_0002,SELL,2022-09-01T13:31:25.001000+00:00,2022-09-01T13:31:30+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2023-03-21,2023,2023-H1,LONG,2023-03-21T13:31:37+00:00,12801.0,62.0,-62.0,-66.0,-1.064516129032258,-63.0,STOP,False,-66.0,-1.064516129032258,STOP,DEV,LB_20230321_093130_BUY_0001,BUY,2023-03-21T13:31:31.008414900+00:00,2023-03-21T13:31:36+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2023-04-03,2023,2023-H1,LONG,2023-04-03T13:32:57+00:00,13214.5,38.0,76.0,72.0,1.894736842105263,-6.0,TARGET,True,34.0,0.8947368421052632,TARGET,DEV,LB_20230403_093250_BUY_0001,BUY,2023-04-03T13:32:51.008301+00:00,2023-04-03T13:32:56+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2023-04-26,2023,2023-H1,SHORT,2023-04-26T13:32:08+00:00,12925.0,80.0,23.0,19.0,0.2375,-63.0,STOP,True,76.0,0.95,TARGET,DEV,LB_20230426_093201_SELL_0001,SELL,2023-04-26T13:32:02.009678+00:00,2023-04-26T13:32:07+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2023-05-03,2023,2023-H1,LONG,2023-05-03T13:35:07+00:00,13211.0,58.0,20.0,16.0,0.27586206896551724,-54.0,STOP,True,54.0,0.9310344827586207,TARGET,DEV,LB_20230503_093500_BUY_0001,BUY,2023-05-03T13:35:01.007293+00:00,2023-05-03T13:35:06+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2023-06-23,2023,2023-H1,LONG,2023-06-23T13:32:06+00:00,15065.75,70.5,17.5,13.5,0.19148936170212766,-46.0,STOP,True,66.5,0.9432624113475178,TARGET,DEV,LB_20230623_093159_BUY_0001,BUY,2023-06-23T13:32:00.001096+00:00,2023-06-23T13:32:05+00:00,4
A_LB_CONTINUATION_ACCEPTANCE,2023-06-30,2023,2023-H1,LONG,2023-06-30T13:31:30+00:00,15264.5,71.0,142.0,138.0,1.943661971830986,-65.0,TARGET,True,67.0,0.9436619718309859,TARGET,DEV,LB_20230630_093123_BUY_0001,BUY,2023-06-30T13:31:24.015486+00:00,2023-06-30T13:31:29+00:00,5
A_LB_CONTINUATION_ACCEPTANCE,2023-07-27,2023,2023-H2,LONG,2023-07-27T13:33:07+00:00,15852.0,62.5,125.0,121.0,1.936,-37.0,TARGET,True,58.5,0.936,TARGET,DEV,LB_20230727_093300_BUY_0001,BUY,2023-07-27T13:33:01.019047+00:00,2023-07-27T13:33:06+00:00,5
