family,date,year,half,block,burst_id,episode_id,side,entry_utc,entry,risk_ticks,outside_count,observation_end_utc,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,exit_utc,fixed_net_ticks,fixed_net_R,fixed_exit_reason
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-04-26,2022,2022-H1,DEV,LB_20220426_093143_SELL_0001,LBE_20220426_0001,SHORT,2022-04-26T13:31:50+00:00,13407.75,20.0,5,2022-04-26T13:31:49+00:00,40.0,36.0,1.8,-17.0,TARGET,True,2022-04-26T13:32:04+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-04-27,2022,2022-H1,DEV,LB_20220427_093500_BUY_0001,LBE_20220427_0001,LONG,2022-04-27T13:35:07+00:00,13104.0,20.0,5,2022-04-27T13:35:06+00:00,-20.0,-24.0,-1.2,-42.0,STOP,False,2022-04-27T13:35:08+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-05-04,2022,2022-H1,DEV,LB_20220504_093301_SELL_0001,LBE_20220504_0001,SHORT,2022-05-04T13:33:08+00:00,13075.0,20.0,5,2022-05-04T13:33:07+00:00,17.0,13.0,0.65,-1.0,STOP,True,2022-05-04T13:33:14+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-05-09,2022,2022-H1,DEV,LB_20220509_093112_BUY_0001,LBE_20220509_0001,LONG,2022-05-09T13:31:19+00:00,12496.0,20.0,5,2022-05-09T13:31:18+00:00,-20.0,-24.0,-1.2,-20.0,STOP,False,2022-05-09T13:31:23+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-05-20,2022,2022-H1,DEV,LB_20220520_093501_SELL_0001,LBE_20220520_0001,SHORT,2022-05-20T13:35:08+00:00,11985.0,20.0,5,2022-05-20T13:35:07+00:00,40.0,36.0,1.8,-4.0,TARGET,True,2022-05-20T13:35:15+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-05-23,2022,2022-H1,DEV,LB_20220523_093420_SELL_0001,LBE_20220523_0001,SHORT,2022-05-23T13:34:27+00:00,11852.5,20.0,5,2022-05-23T13:34:26+00:00,-20.0,-24.0,-1.2,-24.0,STOP,False,2022-05-23T13:34:31+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-05-27,2022,2022-H1,DEV,LB_20220527_093100_BUY_0001,LBE_20220527_0001,LONG,2022-05-27T13:31:07+00:00,12434.5,20.0,5,2022-05-27T13:31:06+00:00,40.0,36.0,1.8,-12.0,TARGET,False,2022-05-27T13:31:10+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-06-08,2022,2022-H1,DEV,LB_20220608_093102_SELL_0001,LBE_20220608_0001,SHORT,2022-06-08T13:31:09+00:00,12649.5,20.0,5,2022-06-08T13:31:08+00:00,4.0,0.0,0.0,-13.0,STOP,True,2022-06-08T13:31:14+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-06-27,2022,2022-H1,DEV,LB_20220627_093202_SELL_0001,LBE_20220627_0001,SHORT,2022-06-27T13:32:09+00:00,12158.25,20.0,5,2022-06-27T13:32:08+00:00,40.0,36.0,1.8,-4.0,TARGET,True,2022-06-27T13:32:15+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-07-18,2022,2022-H2,DEV,LB_20220718_093105_SELL_0001,LBE_20220718_0001,SHORT,2022-07-18T13:31:12+00:00,12092.5,20.0,5,2022-07-18T13:31:11+00:00,-20.0,-24.0,-1.2,-37.0,STOP,False,2022-07-18T13:31:15+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-07-19,2022,2022-H2,DEV,LB_20220719_093600_SELL_0001,LBE_20220719_0001,SHORT,2022-07-19T13:36:07+00:00,12028.25,20.0,5,2022-07-19T13:36:06+00:00,40.0,36.0,1.8,-7.0,TARGET,True,2022-07-19T13:36:12+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-07-20,2022,2022-H2,DEV,LB_20220720_093700_BUY_0005,LBE_20220720_0004,LONG,2022-07-20T13:37:07+00:00,12305.5,20.0,5,2022-07-20T13:37:06+00:00,40.0,36.0,1.8,-10.0,TARGET,True,2022-07-20T13:37:32+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-07-26,2022,2022-H2,DEV,LB_20220726_093111_SELL_0001,LBE_20220726_0001,SHORT,2022-07-26T13:31:18+00:00,12256.25,20.0,5,2022-07-26T13:31:17+00:00,40.0,36.0,1.8,-1.0,TARGET,True,2022-07-26T13:31:19+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-07-29,2022,2022-H2,DEV,LB_20220729_093500_SELL_0001,LBE_20220729_0001,SHORT,2022-07-29T13:35:07+00:00,12767.0,20.0,5,2022-07-29T13:35:06+00:00,4.0,0.0,0.0,-4.0,STOP,True,2022-07-29T13:35:13+00:00,36.0,1.8,TARGET
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-08-01,2022,2022-H2,DEV,LB_20220801_093127_SELL_0001,LBE_20220801_0001,SHORT,2022-08-01T13:31:34+00:00,12882.5,20.0,5,2022-08-01T13:31:33+00:00,-20.0,-24.0,-1.2,-20.0,STOP,False,2022-08-01T13:31:36+00:00,-24.0,-1.2,STOP
LB_CONTINUATION_ACCEPTANCE_FIXED20,2022-08-09,2022,2022-H2,DEV,LB_20220809_093105_SELL_0001,LBE_20220809_0001,SHORT,2022-08-09T13:31:12+00:00,13073.5,20.0,5,2022-08-09T13:31:11+00:00,40.0,36.0,1.8,-9.0,TARGET,True,2022-08-09T13:31:19+00:00,36.0,1.8,TARGET
