date,year,net
2022-04-27,2022,-5.0
2022-04-28,2022,-9.0
2022-05-06,2022,-9.0
2022-05-09,2022,-2.0
2022-05-10,2022,1.0
2022-05-11,2022,5.0
2022-05-12,2022,-1.0
2022-05-13,2022,-1.0
2022-05-16,2022,-4.0
2022-05-19,2022,5.0
2022-05-20,2022,0.0
2022-05-23,2022,-3.0
2022-05-24,2022,7.0
2022-05-25,2022,1.0
2022-05-26,2022,-9.0
2022-05-27,2022,-4.0
2022-05-30,2022,-5.0
2022-06-01,2022,-5.0
2022-06-03,2022,6.0
2022-06-06,2022,-4.0
2022-06-13,2022,-1.0
2022-06-16,2022,-4.0
2022-06-20,2022,-4.0
2022-06-21,2022,-9.0
2022-06-22,2022,9.0
2022-06-23,2022,-9.0
2022-06-28,2022,-3.0
2022-07-01,2022,-1.0
2022-07-06,2022,-9.0
2022-07-07,2022,-9.0
2022-07-11,2022,6.0
2022-07-12,2022,16.0
2022-07-13,2022,0.0
2022-07-14,2022,-9.0
2022-07-18,2022,1.0
2022-07-22,2022,0.0
2022-07-28,2022,1.0
2022-07-29,2022,-2.0
2022-08-03,2022,-9.0
2022-08-05,2022,-4.0
2022-08-08,2022,-4.0
2022-08-11,2022,-9.0
2022-08-15,2022,-1.0
2022-08-16,2022,-9.0
2022-08-17,2022,5.0
2022-08-22,2022,-4.0
2022-08-23,2022,-9.0
2022-08-29,2022,-5.0
2022-09-01,2022,-9.0
2022-09-06,2022,-4.0
2022-09-07,2022,1.0
2022-09-09,2022,-3.0
2022-09-12,2022,-3.0
2022-09-13,2022,21.0
2022-09-19,2022,-4.0
2022-09-21,2022,-2.0
2022-09-22,2022,-3.0
2022-09-26,2022,-2.0
2022-09-30,2022,0.0
2022-10-04,2022,27.0
2022-10-05,2022,4.0
2022-10-06,2022,11.0
2022-10-14,2022,-3.0
2022-10-17,2022,4.0
2022-10-19,2022,-5.0
2022-10-20,2022,-9.0
2022-10-25,2022,2.0
2022-10-27,2022,-9.0
2022-10-28,2022,6.0
2022-11-08,2022,8.0
2022-11-09,2022,-1.0
2022-11-10,2022,-4.0
2022-11-14,2022,3.0
2022-11-15,2022,7.0
2022-11-16,2022,-9.0
2022-11-22,2022,-5.0
2022-11-24,2022,2.0
2022-11-28,2022,-9.0
2022-12-01,2022,7.0
2022-12-05,2022,-9.0
2022-12-06,2022,-9.0
2022-12-07,2022,-9.0
2022-12-08,2022,10.0
2022-12-14,2022,-4.0
2022-12-19,2022,-9.0
2022-12-30,2022,0.0
2023-01-03,2023,1.0
2023-01-04,2023,-9.0
2023-01-06,2023,0.0
2023-01-09,2023,3.0
2023-01-10,2023,-9.0
2023-01-12,2023,-9.0
2023-01-16,2023,4.0
2023-01-23,2023,-4.0
2023-01-26,2023,-9.0
2023-01-27,2023,-9.0
2023-01-31,2023,-5.0
2023-02-01,2023,-4.0
2023-02-02,2023,11.0
2023-02-08,2023,-9.0
2023-02-09,2023,-3.0
2023-02-10,2023,-9.0
2023-02-13,2023,-9.0
2023-02-14,2023,-5.0
2023-02-15,2023,-3.0
2023-02-17,2023,3.0
2023-02-20,2023,-9.0
2023-02-21,2023,-9.0
2023-02-27,2023,-5.0
2023-03-01,2023,-9.0
2023-03-03,2023,18.0
2023-03-06,2023,17.0
2023-03-07,2023,1.0
2023-03-08,2023,-2.0
2023-03-09,2023,-9.0
2023-03-10,2023,-9.0
2023-03-15,2023,-9.0
2023-03-21,2023,-3.0
2023-03-31,2023,-2.0
2023-04-03,2023,0.0
2023-04-05,2023,-3.0
2023-04-12,2023,-5.0
2023-04-13,2023,-5.0
2023-04-14,2023,-9.0
2023-04-17,2023,-9.0
2023-04-19,2023,-5.0
2023-04-20,2023,11.0
2023-04-24,2023,-3.0
2023-04-25,2023,-3.0
2023-04-28,2023,-1.0
2023-05-01,2023,-9.0
2023-05-03,2023,-5.0
2023-05-05,2023,17.0
2023-05-10,2023,4.0
2023-05-16,2023,-9.0
2023-05-22,2023,19.0
2023-05-23,2023,3.0
2023-05-30,2023,-9.0
2023-05-31,2023,2.0
2023-06-02,2023,1.0
2023-06-07,2023,-9.0
2023-06-08,2023,-3.0
2023-06-09,2023,-2.0
2023-06-15,2023,-5.0
2023-06-20,2023,-1.0
2023-06-26,2023,-9.0
2023-06-30,2023,-9.0
2023-07-03,2023,2.0
2023-07-05,2023,2.0
2023-07-07,2023,5.0
2023-07-10,2023,12.0
2023-07-11,2023,2.0
2023-07-13,2023,0.0
2023-07-14,2023,-1.0
2023-07-17,2023,-4.0
2023-07-19,2023,7.0
2023-07-20,2023,-2.0
2023-07-24,2023,4.0
2023-07-25,2023,-2.0
2023-07-26,2023,-9.0
2023-07-28,2023,-4.0
2023-07-31,2023,-1.0
2023-08-01,2023,-9.0
2023-08-04,2023,8.0
2023-08-07,2023,-9.0
2023-08-10,2023,9.0
2023-08-15,2023,-9.0
2023-08-18,2023,10.0
2023-08-21,2023,-2.0
2023-08-23,2023,-4.0
2023-08-25,2023,-9.0
2023-08-28,2023,16.0
2023-08-30,2023,2.0
2023-08-31,2023,1.0
2023-09-01,2023,2.0
2023-09-04,2023,-9.0
2023-09-08,2023,10.0
2023-09-11,2023,-4.0
2023-09-12,2023,-9.0
2023-09-13,2023,2.0
2023-09-18,2023,11.0
2023-09-27,2023,4.0
2023-09-28,2023,-9.0
2023-10-02,2023,-3.0
2023-10-04,2023,-5.0
2023-10-05,2023,3.0
2023-10-06,2023,-9.0
2023-10-09,2023,-9.0
2023-10-10,2023,-4.0
2023-10-11,2023,-9.0
2023-10-16,2023,5.0
2023-10-17,2023,1.0
2023-10-19,2023,-9.0
2023-10-24,2023,-5.0
2023-10-30,2023,1.0
2023-11-02,2023,-2.0
2023-11-03,2023,2.0
2023-11-07,2023,-9.0
2023-11-08,2023,-9.0
2023-11-14,2023,42.0
2023-11-16,2023,-1.0
2023-11-20,2023,10.0
2023-11-22,2023,2.0
2023-11-28,2023,-5.0
2023-11-29,2023,-9.0
2023-12-05,2023,-3.0
2023-12-06,2023,11.0
2023-12-07,2023,-1.0
2023-12-08,2023,-4.0
2023-12-13,2023,1.0
2023-12-15,2023,-9.0
2023-12-18,2023,-3.0
2023-12-21,2023,35.0
2023-12-27,2023,-9.0
2024-01-02,2024,12.0
2024-01-08,2024,-5.0
2024-01-12,2024,2.0
2024-01-15,2024,-9.0
2024-01-16,2024,4.0
2024-01-17,2024,-9.0
2024-01-18,2024,11.0
2024-01-19,2024,-4.0
2024-01-22,2024,-9.0
2024-01-24,2024,-9.0
2024-01-25,2024,0.0
2024-01-29,2024,-9.0
2024-01-30,2024,-9.0
2024-02-05,2024,-9.0
2024-02-08,2024,9.0
2024-02-09,2024,19.0
2024-02-14,2024,-9.0
2024-02-15,2024,-4.0
2024-02-20,2024,-9.0
2024-02-22,2024,8.0
2024-02-26,2024,13.0
2024-02-28,2024,-4.0
2024-02-29,2024,-9.0
2024-03-05,2024,-9.0
2024-03-06,2024,-9.0
2024-03-07,2024,-9.0
2024-03-08,2024,14.0
2024-03-18,2024,-1.0
2024-03-22,2024,-2.0
2024-03-25,2024,0.0
2024-04-03,2024,2.0
2024-04-05,2024,-2.0
2024-04-16,2024,-4.0
2024-04-29,2024,-2.0
2024-05-01,2024,-9.0
2024-05-07,2024,4.0
2024-05-08,2024,-4.0
2024-05-10,2024,-5.0
2024-05-14,2024,-9.0
2024-05-15,2024,-1.0
2024-05-16,2024,-9.0
2024-05-20,2024,-5.0
2024-05-22,2024,-4.0
2024-05-27,2024,7.0
2024-05-28,2024,-5.0
2024-05-29,2024,-9.0
2024-05-30,2024,2.0
2024-06-12,2024,-3.0
2024-06-18,2024,19.0
2024-06-24,2024,-9.0
2024-06-27,2024,-9.0
2024-07-01,2024,-1.0
2024-07-02,2024,18.0
2024-07-03,2024,-3.0
2024-07-05,2024,-9.0
2024-07-08,2024,7.0
2024-07-10,2024,-9.0
2024-07-11,2024,-9.0
2024-07-12,2024,5.0
2024-07-16,2024,0.0
2024-07-17,2024,-3.0
2024-07-24,2024,-9.0
2024-07-26,2024,-9.0
2024-07-30,2024,0.0
2024-08-01,2024,-1.0
2024-08-05,2024,-3.0
2024-08-06,2024,-9.0
2024-08-07,2024,-9.0
2024-08-13,2024,10.0
2024-08-14,2024,-5.0
2024-08-15,2024,-9.0
2024-08-19,2024,-5.0
2024-08-20,2024,8.0
2024-08-21,2024,-9.0
2024-08-22,2024,-9.0
2024-08-26,2024,-1.0
2024-08-30,2024,-9.0
2024-09-02,2024,-5.0
2024-09-04,2024,-2.0
2024-09-05,2024,-2.0
2024-09-06,2024,-4.0
2024-09-09,2024,0.0
2024-09-10,2024,-2.0
2024-09-13,2024,-9.0
2024-09-16,2024,-9.0
2024-09-17,2024,-2.0
2024-09-25,2024,-9.0
2024-09-27,2024,-9.0
2024-09-30,2024,5.0
2024-10-11,2024,8.0
2024-10-14,2024,20.0
2024-10-21,2024,-9.0
2024-10-25,2024,-1.0
2024-11-01,2024,4.0
2024-11-04,2024,2.0
2024-11-05,2024,-9.0
2024-11-06,2024,-4.0
2024-11-13,2024,-9.0
2024-11-18,2024,-1.0
2024-11-21,2024,11.0
2024-11-25,2024,41.0
2024-11-26,2024,10.0
2024-12-03,2024,-4.0
2024-12-05,2024,-5.0
2024-12-06,2024,-2.0
2024-12-11,2024,13.0
2024-12-17,2024,-1.0
2024-12-20,2024,5.0
2024-12-24,2024,12.0
2024-12-26,2024,-2.0
2024-12-30,2024,-9.0
2024-12-31,2024,6.0
2025-01-02,2025,-1.0
2025-01-03,2025,-4.0
2025-01-07,2025,0.0
2025-01-08,2025,-9.0
2025-01-09,2025,5.0
2025-01-14,2025,-4.0
2025-01-15,2025,-9.0
2025-01-17,2025,18.0
2025-01-20,2025,-9.0
2025-01-21,2025,3.0
2025-01-22,2025,-4.0
2025-01-23,2025,-5.0
2025-01-30,2025,1.0
2025-02-03,2025,-3.0
2025-02-07,2025,-5.0
2025-02-10,2025,0.0
2025-02-11,2025,-5.0
2025-02-14,2025,-9.0
2025-02-26,2025,-9.0
2025-02-27,2025,-5.0
2025-02-28,2025,-1.0
2025-03-04,2025,5.0
2025-03-05,2025,12.0
2025-03-06,2025,-4.0
2025-03-07,2025,-9.0
2025-03-10,2025,-9.0
2025-03-11,2025,3.0
2025-03-12,2025,10.0
2025-03-13,2025,-9.0
2025-03-17,2025,-4.0
2025-03-25,2025,-9.0
2025-03-26,2025,-4.0
2025-03-27,2025,-2.0
2025-04-03,2025,-4.0
2025-04-04,2025,-2.0
2025-04-09,2025,21.0
2025-04-15,2025,-9.0
2025-04-16,2025,-4.0
2025-04-22,2025,-9.0
2025-04-23,2025,-1.0
2025-04-24,2025,0.0
2025-04-28,2025,-2.0
2025-04-29,2025,-5.0
2025-05-02,2025,2.0
2025-05-06,2025,-1.0
2025-05-07,2025,-2.0
2025-05-08,2025,-9.0
2025-05-09,2025,-3.0
2025-05-14,2025,11.0
2025-05-15,2025,8.0
2025-05-19,2025,-5.0
2025-05-21,2025,6.0
2025-05-22,2025,15.0
2025-05-23,2025,3.0
2025-05-26,2025,17.0
2025-06-02,2025,5.0
2025-06-04,2025,-2.0
2025-06-06,2025,5.0
2025-06-10,2025,-4.0
2025-06-13,2025,11.0
2025-06-16,2025,5.0
2025-06-24,2025,7.0
2025-06-25,2025,-9.0
2025-06-27,2025,-9.0
2025-07-01,2025,-4.0
2025-07-03,2025,-3.0
2025-07-09,2025,15.0
2025-07-17,2025,0.0
2025-07-21,2025,-5.0
2025-07-25,2025,-9.0
2025-07-28,2025,-9.0
2025-08-04,2025,-9.0
2025-08-05,2025,2.0
2025-08-06,2025,-4.0
2025-08-13,2025,5.0
2025-08-18,2025,-9.0
2025-08-21,2025,-5.0
2025-08-26,2025,5.0
2025-08-28,2025,-2.0
2025-09-05,2025,-9.0
2025-09-11,2025,-5.0
2025-09-15,2025,-5.0
2025-09-17,2025,-5.0
2025-09-18,2025,3.0
2025-09-22,2025,-5.0
2025-09-23,2025,-3.0
2025-10-01,2025,17.0
2025-10-02,2025,-9.0
2025-10-03,2025,8.0
2025-10-07,2025,4.0
2025-10-08,2025,-9.0
2025-10-09,2025,4.0
2025-10-10,2025,10.0
2025-10-13,2025,4.0
2025-10-15,2025,-9.0
2025-10-16,2025,4.0
2025-10-20,2025,-4.0
2025-10-27,2025,-9.0
2025-10-29,2025,-2.0
2025-11-03,2025,3.0
2025-11-05,2025,-5.0
2025-11-07,2025,-5.0
2025-11-11,2025,-9.0
2025-11-14,2025,-1.0
2025-11-18,2025,0.0
2025-11-19,2025,1.0
2025-11-20,2025,9.0
2025-11-21,2025,-9.0
2025-11-24,2025,-4.0
2025-12-01,2025,-9.0
2025-12-12,2025,-9.0
2025-12-15,2025,8.0
2025-12-16,2025,-2.0
2025-12-18,2025,-9.0
2025-12-19,2025,-9.0
2025-12-24,2025,-2.0
2025-12-26,2025,7.0
2026-01-05,2026,1.0
2026-01-07,2026,-4.0
2026-01-13,2026,-4.0
2026-01-19,2026,13.0
2026-01-23,2026,3.0
2026-01-28,2026,-4.0
2026-01-30,2026,-3.0
2026-02-02,2026,-2.0
2026-02-04,2026,-9.0
2026-02-05,2026,5.0
2026-02-10,2026,9.0
2026-02-11,2026,-5.0
2026-02-12,2026,22.0
2026-02-16,2026,-3.0
2026-02-19,2026,19.0
2026-02-23,2026,-2.0
2026-02-26,2026,-4.0
2026-03-02,2026,-4.0
2026-03-09,2026,-9.0
2026-03-10,2026,-9.0
2026-03-16,2026,-9.0
2026-03-17,2026,-5.0
2026-03-19,2026,4.0
2026-03-24,2026,-1.0
2026-03-25,2026,5.0
2026-03-26,2026,-9.0
2026-03-30,2026,3.0
2026-03-31,2026,-9.0
2026-04-06,2026,-5.0
2026-04-10,2026,-1.0
2026-04-14,2026,-4.0
2026-04-15,2026,-9.0
2026-04-17,2026,-1.0
2026-04-23,2026,1.0
2026-04-27,2026,19.0
2026-05-01,2026,-2.0
2026-05-06,2026,8.0
2026-05-08,2026,-4.0
2026-05-11,2026,24.0
2026-05-14,2026,6.0
2026-05-22,2026,5.0
2026-05-25,2026,-2.0
2026-05-27,2026,-1.0
2026-05-29,2026,1.0
2026-06-02,2026,8.0
2026-06-03,2026,-4.0
2026-06-04,2026,-4.0
2026-06-05,2026,0.0
2026-06-08,2026,-9.0
2026-06-09,2026,-9.0
2026-06-15,2026,4.0
2026-06-16,2026,-5.0
2026-06-22,2026,2.0
2026-06-26,2026,1.0
2026-06-29,2026,16.0
2026-06-30,2026,7.0
