date,year,net
2022-04-27,2022,-42.0
2022-04-28,2022,20.0
2022-05-06,2022,-42.0
2022-05-09,2022,2.0
2022-05-10,2022,-14.0
2022-05-11,2022,202.0
2022-05-12,2022,27.0
2022-05-13,2022,49.0
2022-05-16,2022,26.0
2022-05-18,2022,-4.0
2022-05-19,2022,-16.0
2022-05-20,2022,-16.0
2022-05-23,2022,-42.0
2022-05-25,2022,0.0
2022-05-26,2022,-17.0
2022-05-27,2022,28.0
2022-06-01,2022,77.0
2022-06-03,2022,-14.0
2022-06-06,2022,-15.0
2022-06-13,2022,38.0
2022-06-16,2022,28.0
2022-06-21,2022,-42.0
2022-06-22,2022,18.0
2022-06-23,2022,-6.0
2022-06-27,2022,-42.0
2022-06-28,2022,8.0
2022-07-01,2022,6.0
2022-07-07,2022,-42.0
2022-07-11,2022,1.0
2022-07-12,2022,40.0
2022-07-13,2022,34.0
2022-07-15,2022,20.0
2022-07-22,2022,-42.0
2022-07-25,2022,-42.0
2022-07-28,2022,14.0
2022-07-29,2022,-17.0
2022-08-02,2022,29.0
2022-08-03,2022,-42.0
2022-08-05,2022,-18.0
2022-08-08,2022,-20.0
2022-08-11,2022,-42.0
2022-08-12,2022,-42.0
2022-08-15,2022,-8.0
2022-08-19,2022,-10.0
2022-08-22,2022,-14.0
2022-08-23,2022,12.0
2022-08-24,2022,-17.0
2022-08-25,2022,-42.0
2022-08-29,2022,20.0
2022-09-06,2022,-42.0
2022-09-07,2022,98.0
2022-09-09,2022,52.0
2022-09-12,2022,-42.0
2022-09-13,2022,102.0
2022-09-19,2022,92.0
2022-09-20,2022,-42.0
2022-09-21,2022,-42.0
2022-09-22,2022,-42.0
2022-09-23,2022,-42.0
2022-09-26,2022,16.0
2022-09-28,2022,-22.0
2022-09-30,2022,-1.0
2022-10-03,2022,-42.0
2022-10-04,2022,50.0
2022-10-05,2022,-17.0
2022-10-06,2022,14.0
2022-10-10,2022,-14.0
2022-10-14,2022,9.0
2022-10-17,2022,-19.0
2022-10-19,2022,-42.0
2022-10-20,2022,10.0
2022-10-25,2022,27.0
2022-10-27,2022,-42.0
2022-10-28,2022,-9.0
2022-10-31,2022,1.0
2023-03-13,2023,-42.0
2023-03-14,2023,-42.0
2023-03-15,2023,-2.0
2023-03-21,2023,31.0
2023-03-23,2023,-42.0
2023-03-29,2023,34.0
2023-03-31,2023,-11.0
2023-04-04,2023,-19.0
2023-04-05,2023,-20.0
2023-04-13,2023,10.0
2023-04-18,2023,-42.0
2023-04-19,2023,17.0
2023-04-20,2023,86.0
2023-04-25,2023,24.0
2023-04-28,2023,-42.0
2023-05-01,2023,-42.0
2023-05-09,2023,-14.0
2023-05-10,2023,105.0
2023-05-12,2023,2.0
2023-05-16,2023,28.0
2023-05-18,2023,29.0
2023-05-23,2023,79.0
2023-05-26,2023,29.0
2023-05-31,2023,9.0
2023-06-02,2023,59.0
2023-06-05,2023,62.0
2023-06-07,2023,112.0
2023-06-08,2023,-42.0
2023-06-09,2023,-42.0
2023-06-15,2023,-42.0
2023-06-20,2023,81.0
2023-06-21,2023,-4.0
2023-06-22,2023,7.0
2023-06-26,2023,-42.0
2023-06-27,2023,-42.0
2023-06-29,2023,-42.0
2023-06-30,2023,19.0
2023-07-03,2023,0.0
2023-07-05,2023,9.0
2023-07-10,2023,-17.0
2023-07-12,2023,-14.0
2023-07-13,2023,23.0
2023-07-14,2023,-22.0
2023-07-17,2023,-42.0
2023-07-19,2023,4.0
2023-07-20,2023,85.0
2023-07-24,2023,4.0
2023-07-25,2023,5.0
2023-07-26,2023,-42.0
2023-07-28,2023,-42.0
2023-07-31,2023,2.0
2023-08-03,2023,-20.0
2023-08-04,2023,22.0
2023-08-07,2023,-3.0
2023-08-09,2023,-42.0
2023-08-10,2023,16.0
2023-08-18,2023,-4.0
2023-08-23,2023,2.0
2023-08-25,2023,-42.0
2023-08-30,2023,40.0
2023-08-31,2023,41.0
2023-09-01,2023,19.0
2023-09-08,2023,175.0
2023-09-11,2023,-42.0
2023-09-12,2023,-42.0
2023-09-13,2023,71.0
2023-09-18,2023,-12.0
2023-09-21,2023,-42.0
2023-09-27,2023,22.0
2023-10-02,2023,4.0
2023-10-04,2023,-6.0
2023-10-06,2023,101.0
2023-10-11,2023,-42.0
2023-10-16,2023,47.0
2023-10-18,2023,175.0
2023-10-19,2023,-42.0
2023-10-24,2023,-1.0
2023-10-26,2023,12.0
2023-10-27,2023,-42.0
2023-11-03,2023,27.0
2024-03-18,2024,79.0
2024-03-20,2024,-42.0
2024-03-25,2024,-1.0
2024-03-26,2024,-42.0
2024-04-03,2024,-42.0
2024-04-05,2024,21.0
2024-04-09,2024,-42.0
2024-04-16,2024,-1.0
2024-04-25,2024,-42.0
2024-04-30,2024,-9.0
2024-05-07,2024,26.0
2024-05-08,2024,-7.0
2024-05-10,2024,37.0
2024-05-15,2024,-4.0
2024-05-20,2024,213.0
2024-05-22,2024,-3.0
2024-05-24,2024,9.0
2024-05-28,2024,5.0
2024-05-29,2024,-14.0
2024-06-12,2024,84.0
2024-06-13,2024,-21.0
2024-06-14,2024,-42.0
2024-06-17,2024,-16.0
2024-06-18,2024,26.0
2024-06-24,2024,119.0
2024-06-25,2024,-42.0
2024-06-26,2024,-4.0
2024-06-27,2024,1.0
2024-07-01,2024,14.0
2024-07-02,2024,30.0
2024-07-03,2024,11.0
2024-07-05,2024,-42.0
2024-07-09,2024,-42.0
2024-07-10,2024,-42.0
2024-07-12,2024,1.0
2024-07-17,2024,-17.0
2024-07-24,2024,-42.0
2024-07-30,2024,-42.0
2024-08-05,2024,-17.0
2024-08-06,2024,-16.0
2024-08-07,2024,-42.0
2024-08-09,2024,-15.0
2024-08-12,2024,-42.0
2024-08-13,2024,-42.0
2024-08-14,2024,-19.0
2024-08-20,2024,2.0
2024-08-21,2024,-42.0
2024-08-22,2024,-42.0
2024-08-29,2024,59.0
2024-09-04,2024,-7.0
2024-09-05,2024,-42.0
2024-09-09,2024,-18.0
2024-09-10,2024,135.0
2024-09-11,2024,-42.0
2024-09-13,2024,-42.0
2024-09-17,2024,-42.0
2024-09-23,2024,-42.0
2024-09-25,2024,-2.0
2024-10-14,2024,-16.0
2024-10-15,2024,-13.0
2024-10-21,2024,-16.0
2024-10-25,2024,-42.0
2024-10-30,2024,-20.0
2024-11-01,2024,19.0
2025-03-11,2025,4.0
2025-03-12,2025,33.0
2025-03-13,2025,-42.0
2025-03-14,2025,24.0
2025-03-19,2025,-42.0
2025-03-20,2025,157.0
2025-03-25,2025,-17.0
2025-03-26,2025,-19.0
2025-03-27,2025,67.0
2025-04-01,2025,72.0
2025-04-03,2025,-42.0
2025-04-04,2025,-13.0
2025-04-07,2025,-42.0
2025-04-09,2025,163.0
2025-04-14,2025,-5.0
2025-04-15,2025,13.0
2025-04-16,2025,1.0
2025-04-21,2025,-11.0
2025-04-23,2025,-12.0
2025-04-24,2025,16.0
2025-04-28,2025,-8.0
2025-04-29,2025,-6.0
2025-05-02,2025,-10.0
2025-05-06,2025,81.0
2025-05-07,2025,13.0
2025-05-09,2025,-14.0
2025-05-14,2025,-20.0
2025-05-15,2025,64.0
2025-05-19,2025,5.0
2025-05-21,2025,93.0
2025-05-22,2025,-8.0
2025-05-23,2025,-42.0
2025-06-02,2025,211.0
2025-06-03,2025,-42.0
2025-06-04,2025,-6.0
2025-06-06,2025,3.0
2025-06-09,2025,-42.0
2025-06-12,2025,-15.0
2025-06-13,2025,152.0
2025-06-16,2025,21.0
2025-06-17,2025,-18.0
2025-06-24,2025,50.0
2025-06-25,2025,-42.0
2025-06-27,2025,1.0
2025-07-02,2025,-42.0
2025-07-03,2025,16.0
2025-07-08,2025,-42.0
2025-07-09,2025,1.0
2025-07-14,2025,36.0
2025-07-18,2025,-42.0
2025-07-21,2025,-8.0
2025-07-25,2025,-15.0
2025-07-28,2025,-42.0
2025-07-29,2025,-42.0
2025-08-06,2025,60.0
2025-08-08,2025,-42.0
2025-08-18,2025,-42.0
2025-08-21,2025,-18.0
2025-08-26,2025,-6.0
2025-08-28,2025,16.0
2025-09-04,2025,1.0
2025-09-15,2025,-42.0
2025-09-22,2025,-4.0
2025-09-29,2025,-17.0
