iter	Logloss
0	0.6839390193
1	0.6777636384
2	0.6676302585
3	0.6613799147
4	0.6536090912
5	0.6477628003
6	0.6437143774
7	0.6375613353
8	0.6326102519
9	0.6275607307
10	0.6238439141
11	0.6166929077
12	0.6103519472
13	0.6041817966
14	0.5992340847
15	0.5962701812
16	0.5927096292
17	0.5893367857
18	0.5848550063
19	0.5813895826
20	0.5771820324
21	0.5741444057
22	0.5724147162
23	0.5689608438
24	0.5667026584
25	0.5630840205
26	0.5588889766
27	0.5552409514
28	0.5527206911
29	0.5497528413
30	0.5480954985
31	0.544224176
32	0.5407704151
33	0.5393708631
34	0.537464689
35	0.5336624662
36	0.5301899822
37	0.5269886737
38	0.5259139074
39	0.5234863861
40	0.5203677676
41	0.5171393096
42	0.5148797993
43	0.5105557864
44	0.5093220677
45	0.5079331727
46	0.5054423041
47	0.5045100212
48	0.5031709911
49	0.5004359846
50	0.4978398228
51	0.4961919123
52	0.494382562
53	0.491772157
54	0.4894706601
55	0.4875652019
56	0.4853094096
57	0.4828941515
58	0.4801302604
59	0.4789357092
60	0.477965038
61	0.4763764142
62	0.4745077137
63	0.4724448558
64	0.4707871869
65	0.4682632042
66	0.4665939603
67	0.4653216456
68	0.4640291513
69	0.4603884789
70	0.4535698892
71	0.4516721333
72	0.4503152247
73	0.4489694682
74	0.4472557187
75	0.444707329
76	0.442016354
77	0.4413610366
78	0.4401236296
79	0.4395902167
80	0.4384187168
81	0.4379014455
82	0.4347657609
83	0.4319923435
84	0.4311486652
85	0.4287110803
86	0.4261773797
87	0.4246212414
88	0.420787371
89	0.4189034489
90	0.4181822097
91	0.4147563726
92	0.4143415
93	0.4130574725
94	0.4094224523
95	0.4072216724
96	0.405900986
97	0.4029990406
98	0.399888644
99	0.398180791
100	0.3964049866
101	0.3954923863
102	0.3946344796
103	0.3942759792
104	0.3928674139
105	0.3909625632
106	0.3887286181
107	0.3869751875
108	0.3866529641
109	0.38570003
110	0.3834827327
111	0.3821631732
112	0.3788158062
113	0.3778571092
114	0.3774169224
115	0.3760632831
116	0.3742114869
117	0.3734152059
118	0.3721065009
119	0.3704137175
120	0.3683794986
121	0.3651231461
122	0.3644537889
123	0.3624699091
124	0.3589128573
125	0.3576128734
126	0.3568748981
127	0.3558870191
128	0.3551691061
129	0.3533364997
130	0.3530411004
131	0.3503480268
132	0.3477019339
133	0.3451773507
134	0.3446418864
135	0.3434657524
136	0.3417788075
137	0.3379873371
138	0.3355978353
139	0.3347123311
140	0.3330148321
141	0.3317271495
142	0.330802514
143	0.3298820056
144	0.3272684586
145	0.3235535937
146	0.3229367816
147	0.3211321469
148	0.3193509333
149	0.3182491742
150	0.3176260401
151	0.3163567391
152	0.3142831638
153	0.3137648087
154	0.3114161517
155	0.3096508177
156	0.307825181
157	0.3068046504
158	0.3060688593
159	0.3050145945
160	0.3039932795
161	0.3021648657
162	0.3008187851
163	0.299691152
164	0.297074811
165	0.2947758307
166	0.2931779182
167	0.2928991701
168	0.2923558422
169	0.2920114607
170	0.2906649611
171	0.2897617141
172	0.2891872101
173	0.2870958957
174	0.2862241354
175	0.2855477455
176	0.2834407821
177	0.2830854649
178	0.2820182787
179	0.2814725657
180	0.2797143124
181	0.2776106654
182	0.2747217996
183	0.2724370797
184	0.2695970836
185	0.2669595005
186	0.2660426304
187	0.2644429744
188	0.2621117877
189	0.2614461282
190	0.259754672
191	0.2586176141
192	0.2548410621
193	0.2545655985
194	0.2533427383
195	0.252350173
196	0.2504561415
197	0.2499838331
198	0.2487415166
199	0.2480565786
200	0.2476284244
201	0.2471189796
202	0.2455852335
203	0.2441329382
204	0.2433112101
205	0.2419553476
206	0.2413758197
207	0.2385760619
208	0.2375772117
209	0.2353433019
210	0.2336115559
211	0.232400829
212	0.2322863748
213	0.230612529
214	0.2298014234
215	0.229098882
216	0.2265596885
217	0.2248740455
218	0.2240374935
219	0.2231091297
220	0.2220611916
221	0.2198353709
222	0.2174582167
223	0.2168244355
224	0.2153953573
225	0.2149124726
226	0.213914188
227	0.2126584721
228	0.2111442969
229	0.2106282041
230	0.2086734034
231	0.2082558279
232	0.2075720104
233	0.2063378328
234	0.2054515634
235	0.2037895163
236	0.2033151009
237	0.2019303008
238	0.200035081
239	0.1989355721
240	0.1977631368
241	0.1961864762
242	0.1951514419
243	0.1943954261
244	0.1928962651
245	0.1920768119
246	0.1907291147
247	0.1902001568
248	0.188312768
249	0.1880342219
250	0.1873671222
251	0.1865873746
252	0.1858373505
253	0.1850462443
254	0.1841806002
255	0.1826275635
256	0.1824679584
257	0.1820773856
258	0.1804088101
259	0.179098605
260	0.1785547477
261	0.1776056889
262	0.1772310644
263	0.1770801005
264	0.1761598988
265	0.1745447001
266	0.1734458768
267	0.1727908428
268	0.1721453535
269	0.1714064624
270	0.1703886806
271	0.1686892649
272	0.1676866789
273	0.1663992318
274	0.1656637011
275	0.1645345647
276	0.1628689835
277	0.1620600472
278	0.1614199863
279	0.1606962582
280	0.1599173635
281	0.1592971015
282	0.1583303353
283	0.1578763605
284	0.1571727898
285	0.1561560671
286	0.1557060802
287	0.1545111208
288	0.1533495243
289	0.1520400974
290	0.1509117213
291	0.1505440051
292	0.1494805252
293	0.1484726658
294	0.1475403905
295	0.1470425912
296	0.1468261114
297	0.1461145156
298	0.1458577164
299	0.1455674442
