iter	Passed	Remaining
0	158	47255
1	162	24182
2	165	16399
3	168	12450
4	170	10071
5	172	8472
6	174	7318
7	176	6450
8	179	5795
9	182	5302
10	184	4859
11	187	4488
12	189	4179
13	190	3901
14	193	3682
15	195	3473
16	197	3295
17	200	3144
18	202	2994
19	203	2852
20	205	2726
21	206	2609
22	208	2506
23	210	2419
24	212	2334
25	214	2255
26	215	2179
27	217	2112
28	220	2059
29	222	1998
30	223	1939
31	225	1886
32	226	1832
33	227	1781
34	229	1736
35	230	1690
36	232	1651
37	233	1610
38	234	1570
39	235	1532
40	237	1497
41	238	1463
42	239	1429
43	240	1398
44	241	1368
45	242	1341
46	244	1316
47	245	1290
48	246	1265
49	248	1241
50	249	1217
51	250	1194
52	251	1172
53	252	1150
54	253	1129
55	254	1110
56	256	1092
57	257	1074
58	258	1056
59	259	1039
60	260	1022
61	261	1005
62	265	997
63	268	991
64	270	978
65	271	964
66	273	949
67	274	935
68	275	921
69	276	907
70	277	894
71	278	881
72	279	869
73	280	857
74	281	845
75	282	833
76	284	822
77	285	811
78	286	800
79	287	790
80	288	779
81	289	769
82	290	759
83	292	751
84	293	741
85	294	731
86	295	722
87	296	713
88	297	705
89	298	697
90	299	688
91	301	680
92	302	672
93	303	664
94	304	657
95	305	649
96	306	641
97	307	634
98	309	627
99	310	620
100	311	613
101	312	606
102	313	600
103	314	593
104	316	587
105	317	580
106	318	574
107	319	568
108	320	562
109	321	555
110	323	550
111	324	544
112	325	538
113	326	532
114	327	526
115	328	521
116	329	515
117	330	509
118	331	504
119	333	499
120	334	494
121	335	489
122	336	484
123	338	480
124	339	475
125	340	470
126	341	465
127	343	461
128	344	456
129	345	452
130	346	447
131	347	442
132	348	438
133	350	434
134	351	429
135	352	425
136	353	421
137	355	417
138	356	412
139	357	408
140	358	404
141	359	400
142	361	396
143	362	392
144	363	388
145	364	384
146	365	380
147	366	376
148	367	372
149	369	369
150	370	365
151	371	361
152	372	358
153	373	354
154	374	350
155	376	347
156	377	343
157	378	340
158	379	336
159	380	333
160	382	330
161	383	326
162	384	323
163	385	320
164	386	316
165	388	313
166	389	310
167	390	306
168	391	303
169	392	300
170	393	297
171	394	293
172	395	290
173	397	287
174	398	284
175	399	281
176	400	278
177	402	275
178	403	272
179	404	269
180	405	266
181	406	263
182	407	260
183	408	257
184	410	255
185	411	252
186	412	249
187	413	246
188	414	243
189	416	240
190	417	238
191	418	235
192	419	232
193	421	230
194	422	227
195	423	224
196	424	222
197	425	219
198	427	216
199	428	214
200	429	211
201	430	209
202	431	206
203	432	203
204	434	201
205	435	198
206	436	196
207	437	193
208	438	190
209	439	188
210	440	185
211	441	183
212	443	181
213	444	178
214	445	176
215	447	173
216	448	171
217	449	169
218	450	166
219	452	164
220	453	162
221	454	159
222	455	157
223	457	155
224	458	152
225	459	150
226	460	148
227	461	145
228	462	143
229	463	141
230	465	138
231	466	136
232	467	134
233	469	132
234	470	130
235	471	127
236	472	125
237	473	123
238	474	121
239	475	118
240	477	116
241	479	114
242	480	112
243	482	110
244	483	108
245	485	106
246	486	104
247	487	102
248	488	100
249	489	97
250	490	95
251	491	93
252	493	91
253	494	89
254	495	87
255	496	85
256	497	83
257	499	81
258	500	79
259	501	77
260	502	75
261	504	73
262	505	71
263	506	69
264	508	67
265	509	65
266	511	63
267	513	61
268	514	59
269	515	57
270	516	55
271	518	53
272	519	51
273	520	49
274	521	47
275	522	45
276	524	43
277	525	41
278	526	39
279	527	37
280	528	35
281	530	33
282	531	31
283	532	29
284	533	28
285	534	26
286	535	24
287	537	22
288	538	20
289	539	18
290	541	16
291	542	14
292	543	12
293	544	11
294	546	9
295	547	7
296	548	5
297	549	3
298	551	1
299	552	0
